target,tic_id,toi,disposition,tmag,teff_k,stellar_radius_solar,distance_pc,known_period_days,unique_transiting_signal_count,available_sector_count,sectors
TIC 290348383,290348383,1099.01,CP,7.3661000,4867.0000000,0.8000000,23.6060000,6.4410060,1,7,101;102;103
TIC 271478281,271478281,2194.01,CP,7.4259000,4669.0000000,0.6900000,19.5711000,15.3419095,1,4,67;92;94
TIC 359271092,359271092,741.01,CP,7.6687400,3766.0000000,0.5300000,10.4540000,7.5768334,1,7,36;37;62
TIC 138819293,138819293,1796.01,KP,8.4034600,3456.0000000,0.4254320,9.7532100,2.6438856,1,2,22;49
TIC 37749396,37749396,260.01,CP,8.4991000,4111.0000000,0.6181730,20.1852000,13.4758478,1,3,3;42;70
TIC 28230919,28230919,1144.01,KP,8.5077000,4757.3000000,0.7600000,37.7647000,4.8878037,1,11,54;55;56
TIC 9989136,9989136,5734.01,CP,8.5446000,4645.0000000,0.6937660,32.5102000,6.1841688,1,3,20;47;60
TIC 151759246,151759246,5800.01,CP,8.6133000,4821.0000000,0.8170340,42.9052000,2.6282606,1,3,54;81;92
TIC 239332587,239332587,4481.01,CP,8.7276200,3573.0000000,0.4300000,12.0445000,0.9263237,1,7,75;76;82
TIC 413248763,413248763,562.01,CP,8.7409400,3505.0000000,0.3600000,9.4418100,3.9306027,1,5,62;89;99
TIC 390651552,390651552,1827.01,CP,8.8223000,3297.0000000,0.3314720,8.0742600,1.4671190,1,2,23;50
TIC 248853232,248853232,5823.01,KP,8.8628000,4746.0000000,0.8775910,49.9605000,3.8681492,1,3,55;81;92
TIC 357501308,357501308,2018.01,CP,8.9620000,4218.9000000,0.6225120,27.9956000,7.4355709,1,4,51;77;78
TIC 180695581,180695581,1807.01,CP,9.0363000,4612.9900000,0.7400000,42.5775000,0.5493700,1,4,22;23;49
TIC 158025009,158025009,1416.01,CP,9.0739000,4946.0000000,0.8000000,55.0135000,1.0697621,1,4,16;23;50
TIC 116483514,116483514,1411.01,CP,9.1043000,4184.0000000,0.6900000,32.4778000,1.4520486,1,7,16;23;24
TIC 234994474,234994474,134.01,CP,9.2297800,3794.0000000,0.5970070,25.1496000,1.4015183,1,6,95;102;104
TIC 62483237,62483237,139.01,CP,9.3636000,4356.0000000,0.7007270,42.4061000,11.0708575,1,4,1;28;68
TIC 260708537,260708537,486.01,CP,9.3685400,3445.0000000,0.4266760,15.2142000,1.7446984,1,44,1;2;3
TIC 192790476,192790476,2459.01,CP,9.3951000,4195.0000000,0.6750930,36.6113000,19.1047019,1,6,5;6;32
TIC 134200185,134200185,500.01,CP,9.4022000,4590.0000000,0.7518250,47.3924000,0.5481573,1,9,6;7;8
TIC 262530407,262530407,177.01,CP,9.4927500,3703.0000000,0.5200000,22.4751000,2.8531016,1,7,96;103;104
TIC 376353509,376353509,1648.01,CP,9.5831000,4871.6000000,0.8400000,69.8350000,7.3315684,1,4,52;59;79
TIC 50618703,50618703,544.01,CP,9.6504000,4665.0000000,0.6634140,41.1166000,1.5483542,1,3,6;32;98
TIC 219344917,219344917,871.01,CP,9.7607000,4939.0000000,0.7321890,68.0473000,14.3627380,1,7,4;5;6
TIC 58542531,58542531,1683.01,CP,9.7940000,4402.0000000,0.6950950,51.1884000,3.0575240,1,5,19;43;44
TIC 159418353,159418353,1739.01,CP,9.8120000,4814.0000000,0.7800000,70.9819000,8.3033493,1,17,19;20;21
TIC 119584412,119584412,1801.01,CP,9.8562300,3815.0000000,0.5500000,30.6796000,10.6439385,1,2,22;49
TIC 201248411,201248411,129.01,CP,9.9005000,4486.0000000,0.7644010,61.7856000,0.9809720,1,10,95;96;102
TIC 103633434,103633434,1235.01,CP,9.9192400,3912.0000000,0.6300000,39.6345000,3.4447015,1,8,14;20;21
TIC 12421862,12421862,198.01,CP,9.9280100,3763.0000000,0.4473360,23.7262000,10.2152025,1,4,2;29;69
TIC 408636441,408636441,1759.01,CP,9.9283800,3960.0000000,0.6300000,40.0654000,18.8500438,1,10,56;57;58
TIC 233087860,233087860,1184.01,CP,9.9469000,4534.0000000,0.6900000,58.5946000,5.7484439,1,41,14;15;16
TIC 425561347,425561347,2215.01,CP,9.9770000,4882.7000000,0.7298180,70.9015000,5.7772122,1,4,67;92;94
TIC 377293776,377293776,1450.01,CP,10.0306000,3407.0000000,0.4736030,22.4467000,2.0439268,1,39,14;15;16
