target,tic_id,toi,disposition,tmag,teff_k,stellar_radius_solar,distance_pc,known_period_days,unique_transiting_signal_count,available_sector_count,sectors
TIC 359271092,359271092,741.01,CP,7.6687400,3766.0000000,0.5300000,10.4540000,7.5768334,1,7,36;37;62
TIC 138819293,138819293,1796.01,KP,8.4034600,3456.0000000,0.4254320,9.7532100,2.6438856,1,2,22;49
TIC 37749396,37749396,260.01,CP,8.4991000,4111.0000000,0.6181730,20.1852000,13.4758478,1,3,3;42;70
TIC 239332587,239332587,4481.01,CP,8.7276200,3573.0000000,0.4300000,12.0445000,0.9263237,1,7,75;76;82
TIC 413248763,413248763,562.01,CP,8.7409400,3505.0000000,0.3600000,9.4418100,3.9306027,1,5,62;89;99
TIC 390651552,390651552,1827.01,CP,8.8223000,3297.0000000,0.3314720,8.0742600,1.4671190,1,2,23;50
TIC 301289516,301289516,4517.01,KP,9.0684000,4199.0000000,0.6300000,29.6610000,1.2089755,1,3,42;70;92
TIC 116483514,116483514,1411.01,CP,9.1043000,4184.0000000,0.6900000,32.4778000,1.4520486,1,7,16;23;24
TIC 234994474,234994474,134.01,CP,9.2297800,3794.0000000,0.5970070,25.1496000,1.4015183,1,6,95;102;104
TIC 260708537,260708537,486.01,CP,9.3685400,3445.0000000,0.4266760,15.2142000,1.7446984,1,44,1;2;3
