"target","tic_id","toi","disposition","tmag","teff_k","stellar_radius_solar","distance_pc","known_period_days","unique_transiting_signal_count","available_sector_count","sectors"
"TIC 262530407","262530407","177.01","CP","9.4927500","3703.0000000","0.5200000","22.4751000","2.8531016","1","7","96;103;104"
"TIC 119584412","119584412","1801.01","CP","9.8562300","3815.0000000","0.5500000","30.6796000","10.6439385","1","2","22;49"
"TIC 103633434","103633434","1235.01","CP","9.9192400","3912.0000000","0.6300000","39.6345000","3.4447015","1","8","14;20;21"
"TIC 12421862","12421862","198.01","CP","9.9280100","3763.0000000","0.4473360","23.7262000","10.2152025","1","4","2;29;69"
"TIC 408636441","408636441","1759.01","CP","9.9283800","3960.0000000","0.6300000","40.0654000","18.8500438","1","10","56;57;58"
"TIC 377293776","377293776","1450.01","CP","10.0306000","3407.0000000","0.4736030","22.4467000","2.0439268","1","39","14;15;16"
"TIC 370133522","370133522","1078.01","CP","10.1165000","3325.0000000","0.3909890","20.3730000","0.5182425","1","7","101;103;104"
"TIC 384888319","384888319","4529.01","CP","10.1406000","3611.0000000","0.4927590","28.3840000","5.8795752","1","3","42;43;70"
"TIC 260004324","260004324","704.01","CP","10.1428000","3625.0000000","0.5040680","29.8424000","3.8143009","1","42","1;2;3"
"TIC 362249359","362249359","833.01","CP","10.1461000","3965.0000000","0.6033360","41.7148000","1.0418890","1","8","9;10;11"
"TIC 369327947","369327947","910.01","CP","10.1508000","3194.0000000","0.2874970","12.4814000","2.0291067","1","10","93;94;101"
"TIC 52005579","52005579","6251.01","CP","10.1769000","3376.0000000","0.2694270","12.2100000","12.7614706","1","5","42;43;57"
"TIC 296739893","296739893","620.01","CP","10.2139000","3633.0000000","0.5474530","33.0231000","5.0988038","1","5","62;89;99"
"TIC 19028197","19028197","5094.01","KP","10.2479000","3552.0000000","0.4996980","29.4214000","3.3366511","1","5","44;45;46"
"TIC 188589164","188589164","2013.01","CP","10.2705000","3352.0000000","0.3256350","15.8095000","2.6162769","1","3","24;25;78"
"TIC 118327550","118327550","244.01","CP","10.3475000","3342.0000000","0.4071030","22.0337000","7.3972160","1","5","69;96;104"
"TIC 236387002","236387002","2119.01","CP","10.3978000","3606.0000000","0.5000000","31.4006000","7.2008611","1","5","24;25;51"
"TIC 193336820","193336820","4491.01","CP","10.4382000","4006.0000000","0.6000000","46.4488000","5.0066220","1","5","75;76;82"
"TIC 406941612","406941612","912.01","CP","10.4904000","3566.0000000","0.4264650","26.1072000","4.6780590","1","8","93;100;101"
"TIC 407591297","407591297","5388.01","CP","10.5737000","3495.0000000","0.3100000","18.5226000","2.5946750","1","2","21;48"
"TIC 240968774","240968774","1467.01","CP","10.5977000","3834.0000000","0.4907370","37.4418000","5.9711357","1","4","17;18;58"
"TIC 353475866","353475866","1693.01","CP","10.6714000","3474.0000000","0.4612600","30.7947000","1.7666920","1","6","43;44;45"
"TIC 70899085","70899085","442.01","CP","10.7329000","3779.0000000","0.6077510","52.6160000","4.0520368","1","2","5;32"
"TIC 4918918","4918918","5747.01","CP","10.7818000","3466.0000000","0.4209080","28.5321000","0.5734766","1","2","21;48"
"TIC 285048486","285048486","1728.01","CP","10.7921000","3907.0000000","0.6300000","60.7980000","3.4913952","1","3","20;47;74"
"TIC 101955023","101955023","667.01","KP","10.8372000","3202.0000000","0.2264070","12.6130000","1.6289322","1","6","9;10;36"
"TIC 271169413","271169413","4559.01","CP","10.9139000","3476.0000000","0.4267670","31.6354000","3.9649053","1","4","11;38;64"
"TIC 29960110","29960110","1201.01","CP","10.9473000","3948.0000000","0.4823880","37.8871000","2.4919771","1","2","4;31"
"TIC 201186294","201186294","1634.01","CP","11.0136000","3455.0000000","0.4652580","35.2736000","0.9893300","1","2","18;86"
"TIC 422756130","422756130","1695.01","CP","11.0294000","3575.0000000","0.5161050","45.1309000","3.1342946","1","11","18;19;24"
