#
# Full target list for orbit 211, sector 100
# Created Wed Jan 14 09:59:26 EST 2026 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
1007010,1,3,13.46,165.7495,-5.4454
1009252,1,3,8.75,165.9143,-4.7903
1445971,1,4,8.16,146.7623,-16.8198
1446147,1,4,5.15,146.8084,-17.2059
1473625,1,4,8.75,146.9975,-12.5599
1474551,1,4,11.58,147.0692,-14.7958
1474552,1,4,11.35,147.0674,-14.7964
1474831,1,4,8.21,147.0154,-15.4208
1522726,1,4,8.30,149.3879,-13.2135
1522960,1,4,11.32,149.4043,-12.4968
1523352,1,4,8.20,153.5813,-12.5844
1524976,1,4,9.76,153.5418,-17.1685
1525480,1,4,12.27,156.5277,-17.2629
1530056,1,4,2.44,156.5216,-16.8369
1530726,1,4,9.86,156.5342,-14.8042
1531533,1,4,8.27,156.5975,-12.0770
1539914,1,3,14.08,166.7345,-12.7339
1542182,1,2,8.92,169.5876,-16.5514
1542611,1,2,9.04,169.5510,-17.9724
1588469,1,3,8.11,169.6709,-12.4473
1588852,1,3,8.76,170.7327,-12.7817
1590837,1,2,15.16,170.8347,-16.7510
1593937,1,3,9.72,170.9931,-12.0164
1595409,1,3,8.17,170.9517,-13.5763
5450638,1,4,8.19,147.0283,-18.3771
5483606,1,4,12.67,149.5646,-21.4624
5484946,1,1,8.41,149.7467,-23.7391
5506063,1,4,5.99,153.1565,-19.1537
5508287,1,1,8.43,155.5110,-23.3380
5508565,1,1,6.68,155.3990,-22.5285
5528085,1,4,9.75,155.4201,-20.6165
5529673,1,4,6.10,155.5536,-19.8665
5531389,1,2,11.49,163.5026,-23.5459
5531391,1,2,9.37,163.5118,-23.5431
5531392,1,2,11.01,163.4859,-23.5435
5576756,1,2,8.07,166.0405,-22.3004
5577274,1,2,8.10,165.9801,-20.7521
5595074,1,2,9.23,166.1194,-18.1455
5595193,1,2,15.75,166.1963,-18.6207
11526793,1,1,13.35,149.7919,-25.6987
11559798,1,1,6.28,149.7761,-23.9507
11560294,1,1,8.87,149.8952,-24.8572
11560959,1,1,15.77,149.9049,-26.0736
14343805,1,3,8.67,163.8247,-5.8532
14614418,2,3,13.39,173.9574,-29.1561
14616122,1,2,8.86,173.8479,-24.5706
14661267,2,3,8.10,174.0382,-29.1778
14661418,2,3,12.48,174.0100,-29.5434
14663544,1,2,5.65,174.1897,-24.4394
14664559,1,2,8.76,174.3530,-26.4757
14680532,2,3,12.80,174.3712,-28.1619
14681209,1,2,13.85,174.4310,-26.4448
14683365,2,3,8.42,174.5176,-27.3323
14684028,2,3,14.75,174.6198,-29.1153
14715294,2,3,13.12,174.7522,-29.8421
14715718,2,3,14.34,174.7089,-28.7074
14717198,1,2,5.62,174.7521,-24.7228
14717912,1,2,14.31,174.7926,-25.3488
15356717,2,2,12.48,185.1070,-47.9006
15356720,2,2,14.24,185.1157,-47.9033
15359619,2,2,10.26,185.0780,-48.9459
15360349,2,2,11.44,185.2195,-49.1850
15363163,3,1,12.53,185.1081,-50.0860
15365585,3,1,8.27,185.1193,-50.7791
15367231,3,1,7.51,185.0804,-51.2187
15370489,3,1,8.44,185.1127,-51.9740
15371740,3,1,9.58,185.1839,-52.2570
15372879,3,1,13.69,185.2086,-52.4958
15373882,3,1,10.46,185.0955,-52.7046
15442215,3,1,12.21,185.1128,-53.6699
15443102,3,1,13.41,185.2948,-53.8481
15444490,3,1,8.79,185.3182,-53.2959
15445551,3,1,10.35,185.3247,-52.8408
15446986,3,1,14.27,185.2780,-52.2115
15446998,3,1,10.59,185.2833,-52.2064
15449742,3,1,15.98,185.2424,-50.9102
15452001,2,2,9.15,185.3908,-49.6251
15520413,2,2,8.62,185.3532,-49.0089
15520802,2,2,13.69,185.2380,-48.7874
15521043,2,2,11.39,185.3329,-48.6220
15521702,2,2,13.85,185.2943,-48.2223
15523400,2,2,14.27,185.5160,-48.6883
15523450,2,2,14.13,185.4964,-48.7163
15524435,2,2,12.87,185.5606,-49.3140
15525527,3,1,5.28,185.4440,-49.9489
15529268,3,1,12.49,185.4552,-51.8454
15530655,3,1,8.08,185.4387,-52.4343
15633716,3,1,5.73,185.5937,-52.9918
20318757,1,2,10.21,167.1330,-29.6531
20318766,1,2,10.74,167.0980,-29.6330
20319492,1,2,5.41,167.1827,-28.0808
20320928,1,2,8.30,167.1091,-24.5347
20322001,1,2,9.68,167.3114,-26.4654
20324259,1,2,8.97,167.3948,-27.8524
20324932,1,2,8.01,167.3772,-25.9912
20325159,1,2,9.62,167.4395,-25.3459
20325758,1,2,12.58,167.5638,-24.1954
20325775,1,2,12.01,167.4723,-24.2491
20326643,1,2,8.47,167.4725,-26.6732
20374960,1,2,5.65,167.4943,-29.7943
20375215,1,2,8.84,167.6082,-29.4145
20375980,1,2,15.59,167.6170,-27.5314
20414912,1,2,13.35,167.9636,-26.8162
20416138,1,2,14.76,167.9878,-24.2679
20416870,1,2,6.35,168.0072,-26.1371
20417152,1,2,5.63,167.9908,-26.8060
20423655,2,3,5.42,168.0791,-29.7825
20424443,1,2,8.76,168.2111,-28.3069
20425473,1,2,8.02,168.2020,-25.7886
20428266,1,2,8.69,168.3308,-29.2328
20446899,1,2,10.41,168.4272,-26.4740
20448010,1,2,12.87,168.5918,-24.3582
20489905,1,2,4.71,168.6579,-26.0754
20491383,1,2,14.11,168.9077,-25.8721
20491438,1,2,15.15,168.8043,-26.0515
20498843,1,2,8.01,168.9631,-26.9119
20500188,1,2,8.04,169.1549,-24.4939
20500617,1,2,9.78,169.1220,-25.6644
20500669,1,2,12.44,169.0769,-25.8244
20501510,1,2,11.14,169.1528,-27.9612
21006571,3,1,14.71,186.3981,-52.0277
21007427,3,1,9.90,186.4698,-51.6001
21008409,3,1,13.15,186.3487,-51.1024
21009910,3,1,12.40,186.4086,-50.2509
21012193,2,2,12.37,186.4007,-48.8247
21012881,2,2,15.73,186.4720,-48.3927
21013191,2,2,14.12,186.4676,-48.1846
21014415,3,1,12.38,186.7444,-53.6308
21105521,3,1,15.23,186.7181,-53.0765
21106378,3,1,5.99,186.7440,-52.7030
21107064,3,1,9.53,186.7506,-52.3864
21107353,3,1,10.37,186.7013,-52.2521
21108089,3,1,12.99,186.6880,-51.8972
21109023,3,1,14.60,186.8064,-51.4121
21109247,3,1,11.34,186.7363,-51.3032
21110028,3,1,10.81,186.8620,-50.8738
21110031,3,1,14.32,186.7806,-50.8723
21110537,3,1,9.24,186.8347,-50.6080
21110758,3,1,8.63,186.8431,-50.4843
21110995,3,1,8.75,186.8258,-50.3522
21112004,3,1,12.09,186.7113,-49.7772
21112371,3,1,15.63,186.8497,-49.5541
21112838,3,1,8.05,186.7313,-49.2839
21113347,2,2,11.40,186.7873,-48.9784
21113446,2,2,5.65,186.6935,-48.9138
21113463,2,2,12.85,186.7643,-48.9023
21114818,2,2,9.92,186.7562,-48.0303
21164029,3,1,12.33,186.9722,-49.6046
21164578,3,1,9.82,187.0009,-49.9069
21165132,3,1,4.16,187.0096,-50.2307
21165739,3,1,9.74,186.9063,-50.6138
21167907,3,1,8.32,187.0449,-51.7259
21168851,3,1,9.39,186.9845,-52.1836
21172752,3,1,9.18,186.9356,-53.8547
21615680,2,2,14.80,180.3036,-47.5787
21616399,2,2,15.45,180.3564,-46.9377
21616475,2,2,14.31,180.2923,-46.8709
21641097,2,2,12.43,180.5016,-41.9386
21644961,2,2,9.39,180.4033,-46.0054
21706693,2,2,15.50,180.6558,-47.8146
21708762,2,2,9.18,180.5840,-46.1667
21709269,2,2,15.27,180.7187,-45.6863
21709407,2,2,8.88,180.6433,-45.5606
21710187,2,2,15.50,180.6888,-44.7791
21711192,2,2,14.41,180.6730,-43.7466
21730286,2,2,8.13,181.3140,-47.6005
21733432,2,2,11.38,181.2375,-44.7455
21735574,2,2,9.03,181.3740,-42.3811
21736170,2,2,11.22,181.3978,-42.1772
21736171,2,2,12.82,181.3946,-42.1778
21819176,2,2,11.84,181.4996,-45.7315
21819368,2,2,8.37,181.5215,-45.8904
21820656,2,2,9.98,181.4633,-46.9710
21825806,2,2,8.39,181.6979,-44.7064
21827610,2,2,9.93,181.6367,-42.7975
21864228,2,2,9.45,181.8276,-43.2288
21864784,2,2,12.56,181.8268,-43.7936
21866579,2,2,14.74,181.7734,-45.5551
21869128,2,2,14.68,181.7665,-47.7063
21869622,2,2,10.27,182.0297,-47.8135
21943373,2,2,7.29,181.8861,-45.5812
21943925,2,2,14.05,181.9975,-45.3493
21946525,2,2,10.61,181.9907,-44.0620
21948511,2,2,15.34,182.0220,-42.8712
21949081,2,2,11.31,181.9664,-42.5475
21949273,2,2,9.98,181.9064,-42.4148
21949406,2,2,8.42,181.9708,-42.3392
21950728,2,2,12.80,182.0964,-42.4097
21951852,2,2,8.48,182.1788,-43.0016
21954983,2,2,13.00,182.0480,-45.0265
21956170,2,2,9.71,182.0549,-46.0855
21956905,2,2,11.40,182.1241,-46.6819
21964875,2,2,13.99,182.1672,-47.8477
21985776,2,2,14.14,182.6309,-47.7442
21986681,2,2,8.20,182.5469,-46.9875
21989720,2,2,8.34,182.5913,-43.8709
22026413,2,2,8.01,182.6771,-42.0314
22026837,2,2,12.09,182.6998,-42.3188
22027696,2,2,14.21,182.7272,-43.2984
22027915,2,2,15.26,182.8299,-43.5146
22029931,2,2,5.70,182.7619,-45.4229
22030608,2,2,8.48,182.8431,-46.0247
22031033,2,2,9.25,182.7999,-46.3937
22033034,2,2,13.19,182.7380,-47.9419
22033197,2,2,13.50,182.9341,-47.8436
22035397,2,2,10.26,182.9871,-46.1266
