target,tic_id,sector,sectors,tmag,teff_k,stellar_radius_solar,distance_pc,ra_deg,dec_deg,camera,ccd,known_planet_host_rows
TIC 115349384,115349384,105,105,10.3503,4080.0,0.659488,51.5151,27.8344469179483,-38.0095091858699,3,4,0
TIC 424940697,424940697,105,105,10.3593,3345.0,0.359483,18.3248,293.516458886449,-52.4205953225931,1,4,0
TIC 147133612,147133612,105,105,10.4057,3789.0,0.592315,43.3655,322.185113031434,-47.2617033070167,1,2,0
TIC 129038724,129038724,105,105,10.4254,4011.0,0.720447,55.8052,301.960534762135,-47.5452564721989,1,4,0
TIC 322736687,322736687,105,105,10.426,3224.0,0.282965,13.4327,34.1462801416681,-30.9687468537191,4,1,0
TIC 88570980,88570980,105,105,10.4367,4466.3,0.74233,75.6798,48.8725663784836,-27.040014988615,4,4,0
TIC 389726031,389726031,105,105,10.474,3528.0,0.580076,40.7281,329.72242860392,-47.0984097986169,2,3,0
TIC 165096120,165096120,105,105,10.4811,3262.0,0.23634,12.1622,322.698634900035,-40.7081816062939,1,2,0
TIC 88408067,88408067,105,105,10.482,4115.0,0.722661,61.3821,45.5697292086563,-27.3834647744954,4,4,0
TIC 209451163,209451163,105,105,10.4999,3827.0,0.563785,43.0969,45.6900073261777,-34.5066784929173,4,2,0
TIC 166422881,166422881,105,105,10.5148,3542.0,0.54847,37.0852,298.685275706413,-53.3261156873313,1,4,0
TIC 97484419,97484419,105,105,10.5164,3359.0,0.267498,14.289,43.6646428112264,-22.2662543249705,4,4,0
TIC 370135840,370135840,105,105,10.538,4301.0,0.784006,76.8008,310.15062657279,-58.62389333301,1,1,0
TIC 90846065,90846065,105,105,10.5702,3880.0,0.522313,40.5266,307.464383290922,-47.1135882781916,1,1,0
TIC 206556824,206556824,105,105,10.5765,4214.0,0.653918,61.8329,19.2834517111587,-56.3405301721229,3,2,0
TIC 101963752,101963752,105,105,10.5873,4315.0,0.74158,74.9423,15.3195729618122,-45.9436706090159,3,1,0
TIC 229147927,229147927,105,105,10.6086,3623.0,0.540657,39.1094,27.1703612287152,-48.5144194784512,3,3,0
TIC 161153432,161153432,105,105,10.6094,3715.0,0.600624,46.4637,338.84414689728,-49.8781577459787,2,3,0
TIC 90850125,90850125,105,105,10.6221,4181.0,0.635842,60.1169,307.634975576772,-43.733866947239,1,3,0
TIC 129478301,129478301,105,105,10.6303,4149.0,0.675465,62.817,304.796215218928,-45.9435539596147,1,4,0
