target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,selection_rank
TIC 79449320,79449320,105,105,8.27,321.5183,-51.814,1,1,1
TIC 147132048,147132048,105,105,8.38,322.0617,-44.3783,1,2,2
TIC 90906535,90906535,105,105,8.32,307.902,-43.9813,1,3,3
TIC 166464480,166464480,105,105,8.27,298.7197,-50.1502,1,4,4
TIC 319246136,319246136,105,105,8.36,351.5576,-59.2813,2,1,5
TIC 144460504,144460504,105,105,8.38,0.0871,-43.3619,2,2,6
TIC 44578552,44578552,105,105,8.41,340.8834,-44.5665,2,3,7
TIC 406322391,406322391,105,105,8.29,327.4608,-60.0557,2,4,8
TIC 117875006,117875006,105,105,8.39,9.9643,-37.4083,3,1,9
TIC 382552251,382552251,105,105,8.39,19.5032,-48.6078,3,2,10
TIC 166679521,166679521,105,105,8.45,35.2563,-52.6923,3,3,11
TIC 111242889,111242889,105,105,8.42,29.9704,-38.1264,3,4,12
TIC 72691373,72691373,105,105,8.41,33.8371,-25.9156,4,1,13
TIC 231283446,231283446,105,105,8.35,43.2178,-48.1532,4,2,14
TIC 166869616,166869616,105,105,8.31,59.0348,-32.6658,4,3,15
TIC 65483724,65483724,105,105,8.41,42.8982,-24.1877,4,4,16
TIC 219293393,219293393,105,105,8.28,311.3402,-54.7749,1,1,17
TIC 159641092,159641092,105,105,8.38,317.9075,-37.9605,1,2,18
TIC 389423271,389423271,105,105,8.32,311.9376,-36.5952,1,3,19
TIC 404162242,404162242,105,105,8.27,296.5239,-48.94,1,4,20
TIC 220501977,220501977,105,105,8.37,345.9646,-59.5164,2,1,21
TIC 389757606,389757606,105,105,8.38,1.0937,-48.8094,2,2,22
TIC 160037571,160037571,105,105,8.41,339.0905,-41.9792,2,3,23
TIC 143856845,143856845,105,105,8.31,331.9052,-51.8782,2,4,24
TIC 183560028,183560028,105,105,8.42,5.5699,-41.933,3,1,25
TIC 281710480,281710480,105,105,8.4,11.4145,-57.3101,3,2,26
TIC 184399050,184399050,105,105,8.45,29.5508,-43.4471,3,3,27
TIC 32397826,32397826,105,105,8.43,26.321,-31.8924,3,4,28
TIC 100915828,100915828,105,105,8.41,31.9934,-36.4271,4,1,29
TIC 321011736,321011736,105,105,8.36,43.5478,-38.4306,4,2,30
TIC 308305519,308305519,105,105,8.31,52.3539,-37.0115,4,3,31
TIC 71468490,71468490,105,105,8.41,47.7216,-18.3172,4,4,32
TIC 230976974,230976974,105,105,8.28,300.4339,-55.5217,1,1,33
TIC 165065403,165065403,105,105,8.38,322.411,-41.7989,1,2,34
TIC 34638294,34638294,105,105,8.33,305.9525,-34.9701,1,3,35
TIC 62351972,62351972,105,105,8.28,291.8994,-45.7114,1,4,36
TIC 200656263,200656263,105,105,8.38,2.1123,-53.4431,2,1,37
TIC 139198604,139198604,105,105,8.4,345.6735,-45.2821,2,2,38
TIC 147383795,147383795,105,105,8.42,326.6668,-47.6328,2,3,39
TIC 259784083,259784083,105,105,8.31,323.4389,-60.6968,2,4,40
TIC 80362051,80362051,105,105,8.43,9.3853,-45.6989,3,1,41
TIC 206503039,206503039,105,105,8.41,16.1785,-55.4543,3,2,42
TIC 201793781,201793781,105,105,8.46,34.6848,-54.8597,3,3,43
TIC 67598235,67598235,105,105,8.43,17.5736,-35.0433,3,4,44
TIC 146284643,146284643,105,105,8.45,36.1667,-34.778,4,1,45
TIC 146709950,146709950,105,105,8.37,44.1997,-46.7236,4,2,46
TIC 168675425,168675425,105,105,8.34,61.3522,-33.5755,4,3,47
TIC 88415691,88415691,105,105,8.42,45.8351,-29.0484,4,4,48
TIC 79005592,79005592,105,105,8.29,314.9897,-53.4417,1,1,49
TIC 382222129,382222129,105,105,8.39,323.3944,-37.8868,1,2,50
TIC 48789500,48789500,105,105,8.34,301.9431,-32.8523,1,3,51
TIC 166342286,166342286,105,105,8.28,297.6936,-51.6976,1,4,52
TIC 220502463,220502463,105,105,8.38,346.2624,-58.1699,2,1,53
TIC 183373095,183373095,105,105,8.4,357.6322,-41.3576,2,2,54
TIC 117544915,117544915,105,105,8.44,340.3278,-43.8415,2,3,55
TIC 316832189,316832189,105,105,8.31,324.1308,-54.1912,2,4,56
TIC 102030675,102030675,105,105,8.43,15.8973,-44.2418,3,1,57
TIC 281574212,281574212,105,105,8.42,7.7002,-56.5946,3,2,58
TIC 231060707,231060707,105,105,8.46,30.9735,-55.6613,3,3,59
TIC 41976098,41976098,105,105,8.45,23.1027,-37.2845,3,4,60
TIC 33665341,33665341,105,105,8.46,30.0503,-29.8661,4,1,61
TIC 215403644,215403644,105,105,8.37,43.1028,-41.1505,4,2,62
TIC 44646517,44646517,105,105,8.35,59.4097,-29.8681,4,3,63
TIC 88406493,88406493,105,105,8.43,45.3332,-24.0129,4,4,64
TIC 100196754,100196754,105,105,8.29,306.0158,-51.773,1,1,65
TIC 382263355,382263355,105,105,8.39,323.7644,-38.7951,1,2,66
TIC 300350767,300350767,105,105,8.35,298.3201,-36.7699,1,3,67
TIC 129139441,129139441,105,105,8.29,302.5663,-47.3318,1,4,68
TIC 355367813,355367813,105,105,8.38,349.434,-52.8381,2,1,69
TIC 144383009,144383009,105,105,8.41,356.9009,-45.3296,2,2,70
TIC 44564772,44564772,105,105,8.45,340.4681,-41.9043,2,3,71
TIC 394008752,394008752,105,105,8.34,329.448,-58.0352,2,4,72
TIC 180145922,180145922,105,105,8.43,14.3607,-39.947,3,1,73
TIC 234490671,234490671,105,105,8.43,8.9392,-61.3352,3,2,74
TIC 166732511,166732511,105,105,8.48,36.353,-49.2524,3,3,75
TIC 115355995,115355995,105,105,8.47,28.1216,-39.6653,3,4,76
TIC 120917003,120917003,105,105,8.46,37.2153,-24.8124,4,1,77
TIC 308227279,308227279,105,105,8.37,41.698,-41.6893,4,2,78
TIC 142875938,142875938,105,105,8.35,51.5653,-30.761,4,3,79
TIC 65480941,65480941,105,105,8.47,42.7513,-29.0026,4,4,80
TIC 231638013,231638013,105,105,8.29,318.1998,-58.3506,1,1,81
TIC 91310121,91310121,105,105,8.4,311.4164,-44.2635,1,2,82
TIC 34686417,34686417,105,105,8.36,306.4133,-31.2387,1,3,83
TIC 129570707,129570707,105,105,8.29,305.5733,-47.6848,1,4,84
TIC 201353088,201353088,105,105,8.4,5.2626,-58.7609,2,1,85
TIC 139348952,139348952,105,105,8.42,348.9463,-42.5878,2,2,86
TIC 144201318,144201318,105,105,8.48,328.259,-43.0291,2,3,87
TIC 403284457,403284457,105,105,8.35,332.2639,-61.7111,2,4,88
TIC 155897483,155897483,105,105,8.45,4.2121,-49.6279,3,1,89
TIC 234496947,234496947,105,105,8.47,10.4431,-61.0944,3,2,90
TIC 201752367,201752367,105,105,8.48,33.0425,-55.4726,3,3,91
TIC 183589888,183589888,105,105,8.48,17.285,-36.144,3,4,92
TIC 123366077,123366077,105,105,8.46,31.3091,-35.8194,4,1,93
TIC 49623960,49623960,105,105,8.38,38.2658,-39.3415,4,2,94
TIC 142938954,142938954,105,105,8.36,52.6597,-33.5301,4,3,95
TIC 92233829,92233829,105,105,8.47,48.98,-20.8263,4,4,96
TIC 166496817,166496817,105,105,8.3,304.9921,-49.7473,1,1,97
TIC 147269346,147269346,105,105,8.4,324.4189,-46.0417,1,2,98
TIC 389308200,389308200,105,105,8.36,310.5534,-36.1328,1,3,99
TIC 143295589,143295589,105,105,8.29,293.5698,-46.6795,1,4,100
TIC 220491428,220491428,105,105,8.4,344.3416,-54.9398,2,1,101
TIC 161440311,161440311,105,105,8.43,345.782,-47.8968,2,2,102
TIC 144202131,144202131,105,105,8.5,328.2296,-46.0192,2,3,103
TIC 381855507,381855507,105,105,8.36,322.361,-55.7572,2,4,104
TIC 200665593,200665593,105,105,8.47,2.8779,-49.6296,3,1,105
TIC 355510058,355510058,105,105,8.47,15.6507,-59.8618,3,2,106
TIC 142267603,142267603,105,105,8.49,39.87,-46.7027,3,3,107
TIC 183618424,183618424,105,105,8.48,18.7144,-38.8417,3,4,108
TIC 146251688,146251688,105,105,8.46,35.2557,-33.8868,4,1,109
TIC 301051609,301051609,105,105,8.39,50.0757,-45.8285,4,2,110
TIC 176778611,176778611,105,105,8.37,47.9695,-32.7799,4,3,111
TIC 64033287,64033287,105,105,8.48,37.994,-23.9293,4,4,112
TIC 166606391,166606391,105,105,8.3,313.3585,-49.3831,1,1,113
TIC 197598550,197598550,105,105,8.41,327.2983,-41.6216,1,2,114
TIC 441428622,441428622,105,105,8.36,311.6662,-33.6043,1,3,115
TIC 299936689,299936689,105,105,8.29,296.9774,-41.4345,1,4,116
TIC 321908147,321908147,105,105,8.41,0.2824,-52.4841,2,1,117
TIC 175373180,175373180,105,105,8.43,348.5426,-41.7145,2,2,118
TIC 161265291,161265291,105,105,8.5,341.5006,-48.4663,2,3,119
TIC 370284932,370284932,105,105,8.37,340.9161,-57.4131,2,4,120
TIC 156140497,156140497,105,105,8.49,11.8107,-47.9907,3,1,121
TIC 382524018,382524018,105,105,8.47,13.0706,-53.369,3,2,122
TIC 220020672,220020672,105,105,8.52,32.9813,-49.2201,3,3,123
TIC 32292486,32292486,105,105,8.5,24.5754,-35.2132,3,4,124
TIC 123320451,123320451,105,105,8.49,29.8884,-33.0958,4,1,125
TIC 165182835,165182835,105,105,8.42,47.3953,-40.4367,4,2,126
TIC 321125764,321125764,105,105,8.37,60.4931,-36.0994,4,3,127
TIC 204613668,204613668,105,105,8.51,41.6907,-21.0802,4,4,128
TIC 370146806,370146806,105,105,8.3,312.7147,-57.3485,1,1,129
TIC 139121144,139121144,105,105,8.43,320.1329,-43.5768,1,2,130
TIC 114733122,114733122,105,105,8.38,301.0493,-36.1624,1,3,131
TIC 79923335,79923335,105,105,8.3,297.2358,-44.2379,1,4,132
TIC 234293950,234293950,105,105,8.42,357.2938,-60.763,2,1,133
TIC 224283513,224283513,105,105,8.43,356.2527,-39.4372,2,2,134
TIC 71334169,71334169,105,105,8.51,331.0804,-42.7248,2,3,135
TIC 219321172,219321172,105,105,8.39,326.3774,-55.2806,2,4,136
TIC 102070580,102070580,105,105,8.5,17.5339,-44.0769,3,1,137
TIC 158549834,158549834,105,105,8.49,20.4349,-52.0765,3,2,138
TIC 142200409,142200409,105,105,8.55,38.2232,-45.193,3,3,139
TIC 115357192,115357192,105,105,8.52,28.3211,-36.5554,3,4,140
TIC 72730296,72730296,105,105,8.5,34.5044,-29.8275,4,1,141
TIC 79570565,79570565,105,105,8.43,53.4645,-42.3804,4,2,142
TIC 142937955,142937955,105,105,8.44,52.4669,-32.6382,4,3,143
TIC 326262917,326262917,105,105,8.51,43.5364,-23.4096,4,4,144
TIC 220344515,220344515,105,105,8.32,307.3652,-55.7953,1,1,145
