target,tic_id,sectors
TIC 2733208,2733208,96
TIC 2733520,2733520,96
TIC 2758565,2758565,96
TIC 2760102,2760102,96
TIC 2760219,2760219,96
TIC 2760232,2760232,96
TIC 2760710,2760710,96
TIC 2761023,2761023,96
TIC 2761472,2761472,96
TIC 2761897,2761897,96
TIC 2762652,2762652,96
TIC 2835867,2835867,96
TIC 2836713,2836713,96
TIC 5611236,5611236,96
TIC 5632856,5632856,96
TIC 5633132,5633132,96
TIC 5633483,5633483,96
TIC 5634788,5634788,96
TIC 5639530,5639530,96
TIC 5640278,5640278,96
TIC 5641821,5641821,96
TIC 5642268,5642268,96
TIC 5656273,5656273,96
TIC 5716512,5716512,96
TIC 5716636,5716636,96
TIC 5717323,5717323,96
TIC 5719106,5719106,96
TIC 5719355,5719355,96
TIC 5726142,5726142,96
TIC 5726510,5726510,96
TIC 5738528,5738528,96
TIC 5739618,5739618,96
TIC 5775131,5775131,96
TIC 5777935,5777935,96
TIC 5778313,5778313,96
TIC 5796235,5796235,96
TIC 5796523,5796523,96
TIC 5796540,5796540,96
TIC 5796745,5796745,96
TIC 7144533,7144533,96
TIC 7146534,7146534,96
TIC 7150142,7150142,96
TIC 8964729,8964729,96
TIC 8995067,8995067,96
TIC 8995204,8995204,96
TIC 8997339,8997339,96
TIC 8998231,8998231,96
TIC 8999170,8999170,96
TIC 9003759,9003759,96
TIC 9006100,9006100,96
TIC 9006668,9006668,96
TIC 9006726,9006726,96
TIC 9007748,9007748,96
TIC 9032367,9032367,96
TIC 9032812,9032812,96
TIC 9033144,9033144,96
TIC 9033392,9033392,96
TIC 9034573,9034573,96
TIC 9035878,9035878,96
TIC 9053676,9053676,96
TIC 9055005,9055005,96
TIC 9055831,9055831,96
TIC 9056576,9056576,96
TIC 9057984,9057984,96
TIC 9058053,9058053,96
TIC 9072580,9072580,96
TIC 9100874,9100874,96
TIC 9102069,9102069,96
TIC 9102466,9102466,96
TIC 9102749,9102749,96
TIC 9102978,9102978,96
TIC 9107839,9107839,96
TIC 9108483,9108483,96
TIC 9109983,9109983,96
TIC 9143444,9143444,96
TIC 9143481,9143481,96
TIC 9143974,9143974,96
TIC 9144320,9144320,96
TIC 9144365,9144365,96
TIC 9144674,9144674,96
TIC 9144862,9144862,96
TIC 9145247,9145247,96
TIC 9156146,9156146,96
TIC 9156160,9156160,96
TIC 9156563,9156563,96
TIC 9157251,9157251,96
TIC 9157339,9157339,96
TIC 9158705,9158705,96
TIC 9165090,9165090,96
TIC 9165884,9165884,96
TIC 9166136,9166136,96
TIC 9166565,9166565,96
TIC 9178478,9178478,96
TIC 9179390,9179390,96
TIC 9210746,9210746,96
TIC 9216075,9216075,96
TIC 12358786,12358786,96
TIC 12358822,12358822,96
TIC 12358929,12358929,96
TIC 12358947,12358947,96
TIC 12358973,12358973,96
TIC 12358982,12358982,96
TIC 12358994,12358994,96
TIC 12358997,12358997,96
TIC 12359021,12359021,96
TIC 12359032,12359032,96
TIC 12359058,12359058,96
TIC 12359060,12359060,96
TIC 12359066,12359066,96
TIC 12359071,12359071,96
TIC 12359081,12359081,96
TIC 12359092,12359092,96
TIC 12359093,12359093,96
TIC 12359094,12359094,96
TIC 12359095,12359095,96
TIC 12359106,12359106,96
TIC 12359121,12359121,96
TIC 12359137,12359137,96
TIC 12359139,12359139,96
TIC 12359143,12359143,96
TIC 12359144,12359144,96
TIC 12359159,12359159,96
TIC 12359187,12359187,96
TIC 12359206,12359206,96
TIC 12359212,12359212,96
TIC 12359266,12359266,96
TIC 12359292,12359292,96
TIC 12377591,12377591,96
TIC 12377662,12377662,96
TIC 12377695,12377695,96
TIC 12377732,12377732,96
TIC 12377749,12377749,96
TIC 12377750,12377750,96
TIC 12377770,12377770,96
TIC 12377777,12377777,96
TIC 12377787,12377787,96
TIC 12377823,12377823,96
TIC 12377837,12377837,96
TIC 12377862,12377862,96
TIC 12377867,12377867,96
TIC 12377870,12377870,96
TIC 12377872,12377872,96
TIC 12377881,12377881,96
TIC 12377882,12377882,96
TIC 12377884,12377884,96
TIC 12377891,12377891,96
TIC 12377893,12377893,96
TIC 12377897,12377897,96
TIC 12377900,12377900,96
TIC 12377912,12377912,96
TIC 12377913,12377913,96
TIC 12377923,12377923,96
TIC 12377924,12377924,96
TIC 12377940,12377940,96
TIC 12377942,12377942,96
TIC 12377948,12377948,96
TIC 12377965,12377965,96
TIC 12378718,12378718,96
TIC 12379252,12379252,96
TIC 12393487,12393487,96
TIC 12393646,12393646,96
TIC 12393753,12393753,96
TIC 12393787,12393787,96
TIC 12393800,12393800,96
TIC 12393811,12393811,96
TIC 12393821,12393821,96
TIC 12393823,12393823,96
TIC 12393839,12393839,96
TIC 12393842,12393842,96
TIC 12393868,12393868,96
TIC 12393871,12393871,96
TIC 12393883,12393883,96
TIC 12393885,12393885,96
TIC 12393886,12393886,96
TIC 12393951,12393951,96
TIC 12393958,12393958,96
TIC 12393967,12393967,96
TIC 12393976,12393976,96
TIC 12394000,12394000,96
TIC 12394814,12394814,96
TIC 12394831,12394831,96
TIC 12394904,12394904,96
TIC 12394910,12394910,96
TIC 12394917,12394917,96
TIC 12394947,12394947,96
TIC 12394955,12394955,96
TIC 12394976,12394976,96
TIC 12394985,12394985,96
TIC 12395004,12395004,96
TIC 12395018,12395018,96
TIC 12395035,12395035,96
TIC 12395214,12395214,96
TIC 12395634,12395634,96
TIC 12395998,12395998,96
TIC 12396031,12396031,96
TIC 12417942,12417942,96
TIC 12418007,12418007,96
TIC 12418075,12418075,96
TIC 12418176,12418176,96
TIC 12418226,12418226,96
TIC 12418249,12418249,96
TIC 12418250,12418250,96
TIC 12418258,12418258,96
TIC 12418282,12418282,96
TIC 12418304,12418304,96
TIC 12418423,12418423,96
TIC 12418527,12418527,96
TIC 12418741,12418741,96
TIC 12418892,12418892,96
TIC 12420159,12420159,96
TIC 12420213,12420213,96
TIC 12420253,12420253,96
TIC 12420254,12420254,96
TIC 12420303,12420303,96
TIC 12420328,12420328,96
TIC 12420381,12420381,96
TIC 12420561,12420561,96
TIC 12420894,12420894,96
TIC 12422003,12422003,96
TIC 12422130,12422130,96
TIC 12422316,12422316,96
TIC 12423289,12423289,96
TIC 12423805,12423805,96
TIC 12423815,12423815,96
TIC 12424475,12424475,96
TIC 12424590,12424590,96
TIC 12424707,12424707,96
TIC 12433577,12433577,96
TIC 12433730,12433730,96
TIC 12434227,12434227,96
TIC 12434259,12434259,96
TIC 12434368,12434368,96
TIC 12435046,12435046,96
TIC 12435154,12435154,96
TIC 12435774,12435774,96
TIC 12469707,12469707,96
TIC 12470194,12470194,96
TIC 12470241,12470241,96
TIC 12471629,12471629,96
TIC 12472252,12472252,96
TIC 12473429,12473429,96
TIC 12474225,12474225,96
TIC 12509178,12509178,96
TIC 12509218,12509218,96
TIC 12511001,12511001,96
TIC 12822545,12822545,96
TIC 12858078,12858078,96
TIC 12858196,12858196,96
TIC 12880835,12880835,96
TIC 12931537,12931537,96
TIC 12931705,12931705,96
TIC 12932464,12932464,96
TIC 12932859,12932859,96
TIC 12933046,12933046,96
TIC 12967420,12967420,96
TIC 12968953,12968953,96
TIC 12969289,12969289,96
TIC 12969617,12969617,96
TIC 12970307,12970307,96
TIC 12970429,12970429,96
TIC 12970743,12970743,96
TIC 12972937,12972937,96
TIC 12974464,12974464,96
TIC 12997929,12997929,96
TIC 12999193,12999193,96
TIC 13000397,13000397,96
TIC 13023378,13023378,96
TIC 13023585,13023585,96
TIC 13024362,13024362,96
TIC 13024620,13024620,96
TIC 13058711,13058711,96
TIC 13058935,13058935,96
TIC 13059308,13059308,96
TIC 13060575,13060575,96
TIC 13065840,13065840,96
TIC 13065858,13065858,96
TIC 13065910,13065910,96
TIC 13066232,13066232,96
TIC 13066915,13066915,96
TIC 13074467,13074467,96
TIC 13090700,13090700,96
TIC 13090802,13090802,96
TIC 13097379,13097379,96
TIC 13099148,13099148,96
TIC 13099818,13099818,96
TIC 13137474,13137474,96
TIC 13140280,13140280,96
TIC 13140406,13140406,96
TIC 20891335,20891335,96
TIC 20891859,20891859,96
TIC 20892851,20892851,96
TIC 20892978,20892978,96
TIC 20897314,20897314,96
TIC 20897611,20897611,96
TIC 20898556,20898556,96
TIC 25117536,25117536,96
TIC 25153740,25153740,96
TIC 27955268,27955268,96
TIC 27964643,27964643,96
TIC 27965020,27965020,96
TIC 27966179,27966179,96
TIC 27972482,27972482,96
TIC 27973239,27973239,96
TIC 27973812,27973812,96
TIC 27985321,27985321,96
TIC 30642087,30642087,96
TIC 31310253,31310253,96
TIC 31742837,31742837,96
TIC 31998451,31998451,96
