"target","tic_id","toi","disposition","tmag","teff_k","stellar_radius_solar","distance_pc","known_period_days","unique_transiting_signal_count","available_sector_count","sectors"
"TIC 290348383","290348383","1099.01","CP","7.3661000","4867.0000000","0.8000000","23.6060000","6.4410060","1","7","101;102;103"
"TIC 271478281","271478281","2194.01","CP","7.4259000","4669.0000000","0.6900000","19.5711000","15.3419095","1","4","67;92;94"
"TIC 28230919","28230919","1144.01","KP","8.5077000","4757.3000000","0.7600000","37.7647000","4.8878037","1","11","54;55;56"
"TIC 9989136","9989136","5734.01","CP","8.5446000","4645.0000000","0.6937660","32.5102000","6.1841688","1","3","20;47;60"
"TIC 151759246","151759246","5800.01","CP","8.6133000","4821.0000000","0.8170340","42.9052000","2.6282606","1","3","54;81;92"
"TIC 248853232","248853232","5823.01","KP","8.8628000","4746.0000000","0.8775910","49.9605000","3.8681492","1","3","55;81;92"
"TIC 357501308","357501308","2018.01","CP","8.9620000","4218.9000000","0.6225120","27.9956000","7.4355709","1","4","51;77;78"
"TIC 180695581","180695581","1807.01","CP","9.0363000","4612.9900000","0.7400000","42.5775000","0.5493700","1","4","22;23;49"
"TIC 158025009","158025009","1416.01","CP","9.0739000","4946.0000000","0.8000000","55.0135000","1.0697621","1","4","16;23;50"
"TIC 62483237","62483237","139.01","CP","9.3636000","4356.0000000","0.7007270","42.4061000","11.0708575","1","4","1;28;68"
"TIC 134200185","134200185","500.01","CP","9.4022000","4590.0000000","0.7518250","47.3924000","0.5481573","1","9","6;7;8"
"TIC 376353509","376353509","1648.01","CP","9.5831000","4871.6000000","0.8400000","69.8350000","7.3315684","1","4","52;59;79"
"TIC 50618703","50618703","544.01","CP","9.6504000","4665.0000000","0.6634140","41.1166000","1.5483542","1","3","6;32;98"
"TIC 219344917","219344917","871.01","CP","9.7607000","4939.0000000","0.7321890","68.0473000","14.3627380","1","7","4;5;6"
"TIC 58542531","58542531","1683.01","CP","9.7940000","4402.0000000","0.6950950","51.1884000","3.0575240","1","5","19;43;44"
"TIC 159418353","159418353","1739.01","CP","9.8120000","4814.0000000","0.7800000","70.9819000","8.3033493","1","17","19;20;21"
"TIC 201248411","201248411","129.01","CP","9.9005000","4486.0000000","0.7644010","61.7856000","0.9809720","1","10","95;96;102"
"TIC 233087860","233087860","1184.01","CP","9.9469000","4534.0000000","0.6900000","58.5946000","5.7484439","1","41","14;15;16"
"TIC 425561347","425561347","2215.01","CP","9.9770000","4882.7000000","0.7298180","70.9015000","5.7772122","1","4","67;92;94"
