target,tic_id,sectors
TIC 6286534,6286534,94
TIC 6288424,6288424,94
TIC 6350228,6350228,94
TIC 6402381,6402381,94
TIC 6404965,6404965,94
TIC 6406215,6406215,94
TIC 6406550,6406550,94
TIC 6408097,6408097,94
TIC 6524232,6524232,94
TIC 6526871,6526871,94
TIC 6593029,6593029,94
TIC 6593243,6593243,94
TIC 6595696,6595696,94
TIC 6663331,6663331,94
TIC 6665844,6665844,94
TIC 6667908,6667908,94
TIC 6668335,6668335,94
TIC 6669806,6669806,94
TIC 6670156,6670156,94
TIC 6725846,6725846,94
TIC 6727178,6727178,94
TIC 6728857,6728857,94
TIC 6764171,6764171,94
TIC 6766943,6766943,94
TIC 6898572,6898572,94
TIC 6898578,6898578,94
TIC 6940755,6940755,94
TIC 6942142,6942142,94
TIC 6943013,6943013,94
TIC 6943833,6943833,94
TIC 6945699,6945699,94
TIC 7014733,7014733,94
TIC 7015521,7015521,94
TIC 7015571,7015571,94
TIC 7018768,7018768,94
TIC 7084946,7084946,94
TIC 7088082,7088082,94
TIC 7088246,7088246,94
TIC 8194633,8194633,94
TIC 8196058,8196058,94
TIC 24693667,24693667,94
TIC 24695044,24695044,94
TIC 24703769,24703769,94
TIC 24706089,24706089,94
TIC 24706893,24706893,94
TIC 24750915,24750915,94
TIC 24751229,24751229,94
TIC 25063296,25063296,94
TIC 25063986,25063986,94
TIC 25064377,25064377,94
TIC 25064731,25064731,94
TIC 25064848,25064848,94
TIC 25065471,25065471,94
TIC 25077654,25077654,94
TIC 25077712,25077712,94
TIC 25078120,25078120,94
TIC 25078523,25078523,94
TIC 25078597,25078597,94
TIC 25078674,25078674,94
TIC 25078884,25078884,94
TIC 25078924,25078924,94
TIC 25079689,25079689,94
TIC 25079777,25079777,94
TIC 25079928,25079928,94
TIC 25080362,25080362,94
TIC 25080435,25080435,94
TIC 25080787,25080787,94
TIC 25080867,25080867,94
TIC 25081005,25081005,94
TIC 25081091,25081091,94
TIC 25081407,25081407,94
TIC 25081575,25081575,94
TIC 25081629,25081629,94
TIC 25081729,25081729,94
TIC 25081845,25081845,94
TIC 25116119,25116119,94
TIC 25116373,25116373,94
TIC 25116423,25116423,94
TIC 25116563,25116563,94
TIC 25116696,25116696,94
TIC 25116870,25116870,94
TIC 25117242,25117242,94
TIC 25117273,25117273,94
TIC 25117645,25117645,94
TIC 25117741,25117741,94
TIC 25117756,25117756,94
TIC 25118098,25118098,94
TIC 25118739,25118739,94
TIC 25118797,25118797,94
TIC 25118964,25118964,94
TIC 25131718,25131718,94
TIC 25131760,25131760,94
TIC 25131889,25131889,94
TIC 25131892,25131892,94
TIC 25132222,25132222,94
TIC 25132314,25132314,94
TIC 25132694,25132694,94
TIC 25132720,25132720,94
TIC 25132754,25132754,94
TIC 25132832,25132832,94
TIC 25132893,25132893,94
TIC 25132999,25132999,94
TIC 25133016,25133016,94
TIC 25133052,25133052,94
TIC 25133068,25133068,94
TIC 25133286,25133286,94
TIC 25133604,25133604,94
TIC 25133636,25133636,94
TIC 25134054,25134054,94
TIC 25134105,25134105,94
TIC 25134376,25134376,94
TIC 25134377,25134377,94
TIC 25134567,25134567,94
TIC 25153041,25153041,94
TIC 25153109,25153109,94
TIC 25153167,25153167,94
TIC 25153316,25153316,94
TIC 25153404,25153404,94
TIC 25153635,25153635,94
TIC 25153759,25153759,94
TIC 25154170,25154170,94
TIC 25154301,25154301,94
TIC 25154831,25154831,94
TIC 25155310,25155310,94
TIC 25155340,25155340,94
TIC 25155464,25155464,94
TIC 25155510,25155510,94
TIC 25155654,25155654,94
TIC 25155698,25155698,94
TIC 25155984,25155984,94
TIC 25155998,25155998,94
TIC 25156036,25156036,94
TIC 25194865,25194865,94
TIC 25194908,25194908,94
TIC 25194993,25194993,94
TIC 25195362,25195362,94
TIC 25195446,25195446,94
TIC 25195455,25195455,94
TIC 25195623,25195623,94
TIC 25195850,25195850,94
TIC 25195864,25195864,94
TIC 25196278,25196278,94
TIC 25196356,25196356,94
TIC 27971915,27971915,94
TIC 29758859,29758859,94
TIC 29759170,29759170,94
TIC 29759268,29759268,94
TIC 29759435,29759435,94
TIC 29759557,29759557,94
TIC 29759800,29759800,94
TIC 29759938,29759938,94
TIC 29760053,29760053,94
TIC 29760316,29760316,94
TIC 29760441,29760441,94
TIC 29760913,29760913,94
TIC 29761349,29761349,94
TIC 29761402,29761402,94
TIC 29761724,29761724,94
