target,tic_id,sectors,artifact_epoch_btjd,prior_depth_snr,prior_passes,prior_period_days,prior_pipeline_version,prior_transit_time,shared_epochs_seen,source_campaigns
TIC 1007010,1007010,100,4074.4,4.8461,False,0.545161,processed-lc-v2,4074.856948,4074.4,sector100_expansion_5000
TIC 1474552,1474552,100,4074.4,5.4271,False,2.80917,processed-lc-v2,4074.99949,4074.4,sector100_expansion_5000
TIC 5483606,5483606,100,4074.4,6.6509,False,1.122529,processed-lc-v2,4075.360875,4074.4,sector100_expansion_5000
TIC 11526793,11526793,100,4074.4,6.1455,False,0.966873,processed-lc-v2,4075.335948,4074.4,sector100_expansion_5000
TIC 14683365,14683365,100,4080.8,9.0669,False,1.375633,processed-lc-v2,4074.581452,4080.8,sector100_expansion_5000
TIC 15443102,15443102,100,4080.8,10.3701,True,0.926628,processed-lc-v2,4075.267402,4080.8,sector100_expansion_5000
TIC 15444490,15444490,100,4074.4,401.1702,False,0.988979,processed-lc-v2,4074.183382,4074.4,sector100_expansion_5000
TIC 15521043,15521043,100,4074.4,81.9678,False,0.693469,processed-lc-v2,4074.368094,4074.4,sector100_expansion_5000
TIC 20324932,20324932,100,4080.8,5.4567,False,0.507296,processed-lc-v2,4074.840574,4080.8,sector100_expansion_5000
TIC 21110028,21110028,100,4080.8,6.0404,False,7.9979,processed-lc-v2,4079.780371,4080.8,sector100_expansion_5000
TIC 21949406,21949406,100,4080.8,6.3765,False,6.710095,processed-lc-v2,4074.468655,4080.8,sector100_expansion_5000
TIC 21954983,21954983,100,4074.4,53.0946,False,0.576136,processed-lc-v2,4074.401479,4074.4,sector100_expansion_5000
TIC 22221375,22221375,100,4080.8,7.8834,True,8.610968,processed-lc-v2,4082.344395,4080.8,sector100_expansion_5000
TIC 22755154,22755154,100,4080.8,5.6695,False,1.366344,processed-lc-v2,4074.04764,4080.8,sector100_expansion_5000
TIC 22855960,22855960,100,4074.4,10.1439,False,1.022853,processed-lc-v2,4074.297573,4074.4,sector100_expansion_5000
TIC 22856975,22856975,100,4080.8,5.7666,False,9.2671,processed-lc-v2,4076.093331,4080.8,sector100_expansion_5000
TIC 22856978,22856978,100,4080.8,6.0063,False,9.2671,processed-lc-v2,4076.093331,4080.8,sector100_expansion_5000
TIC 23434737,23434737,100,4080.8,15.4073,False,8.209344,processed-lc-v2,4077.828168,4080.8,sector100_expansion_5000
TIC 23559335,23559335,100,4080.8,6.0554,False,4.10398,processed-lc-v2,4078.039488,4080.8,sector100_expansion_5000
TIC 32610018,32610018,100,4074.4,5.011,False,4.988189,processed-lc-v2,4077.531191,4074.4,sector100_expansion_5000
TIC 32612670,32612670,100,4074.4,27.6255,False,1.228072,processed-lc-v2,4074.449316,4074.4,sector100_expansion_5000
TIC 32662807,32662807,100,4080.8,6.9717,False,1.016551,processed-lc-v2,4074.875592,4080.8,sector100_expansion_5000
TIC 49005243,49005243,100,4080.8,45.1355,False,6.33816,processed-lc-v2,4080.761413,4080.8,sector100_expansion_5000
TIC 49005244,49005244,100,4080.8,17.2312,True,6.881918,processed-lc-v2,4079.411754,4080.8,sector100_expansion_5000
TIC 53694359,53694359,100,4080.8,5.4297,False,1.291781,processed-lc-v2,4074.878997,4080.8,sector100_expansion_5000
