target,tic_id,sector,sectors
TIC 23434737,23434737,100,100
TIC 49043968,49043968,100,100
TIC 105712339,105712339,100,100
TIC 142211778,142211778,100,100
TIC 151920165,151920165,100,100
TIC 157230659,157230659,100,100
TIC 157266693,157266693,100,100
TIC 162620529,162620529,100,100
TIC 256124756,256124756,100,100
TIC 259230140,259230140,100,100
TIC 261020738,261020738,100,100
TIC 263486257,263486257,100,100
TIC 295233473,295233473,100,100
TIC 301248781,301248781,100,100
TIC 306648160,306648160,100,100
TIC 316236118,316236118,100,100
TIC 384016413,384016413,100,100
TIC 401283491,401283491,100,100
TIC 448589187,448589187,100,100
TIC 450649506,450649506,100,100
TIC 453668803,453668803,100,100
