target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,source_rowupdate,purpose,sector,sectors,author,cadence_seconds
TIC 150428135,150428135,TOI-700 c,16.051106,2768.5212418,,2024-02-15 10:08:02,deliberate single-sector alias stress,3,3,SPOC,120.0
TIC 261136679,261136679,pi Men c,6.267832,321.0,,2023-04-04 16:02:02,period/depth/magnitude coverage,1,1,SPOC,120.0
TIC 100100827,100100827,WASP-18 b,0.94145223,11445.0,,frozen NASA benchmark queried 2026-07-22,boundary/alias control,2,2,SPOC,120.0
TIC 420814525,420814525,HD 209458 b,3.52474859,17803.0,,frozen NASA benchmark queried 2026-07-22,boundary/alias control,56,56,SPOC,120.0
TIC 260647166,260647166,TOI-1233.01,14.1758947,907.1324529,8.65,2024-07-03 12:03:06,period/depth/magnitude coverage,10,10;11,SPOC,120.0
TIC 142211778,142211778,NGTS-18 b,3.052057,9403.0926011,13.91,2023-04-27 16:02:02,period/depth/magnitude coverage,63,63,SPOC,120.0
TIC 437242640,437242640,WASP-34 b,4.3176859,11283.0,9.76,2023-05-11 16:02:02,period/depth/magnitude coverage,9,9,SPOC,120.0
TIC 36724087,36724087,LTT 3780 b,0.7683904,903.9933214,10.59,2023-10-05 14:31:09,period/depth/magnitude coverage,9,9,SPOC,120.0
TIC 73228647,73228647,HD 110113 b,2.5404679,572.0,9.46,2023-06-28 10:10:02,period/depth/magnitude coverage,10,10,SPOC,120.0
TIC 73649615,73649615,TOI-756 b,1.2392569,2917.3714571,12.55,2025-10-17 12:03:54,period/depth/magnitude coverage,10,10,SPOC,120.0
TIC 306996324,306996324,TOI-776 b,8.2466133,1071.2067848,9.74,2024-10-03 10:08:02,period/depth/magnitude coverage,10,10;37,SPOC,120.0
TIC 9006668,9006668,TOI-238 b,1.2730965,414.0,,2024-04-26 10:08:02,period/depth/magnitude coverage,2,2,SPOC,120.0
TIC 454069765,454069765,NGTS-13 b,4.1197036,2690.0,12.11,2024-08-22 10:08:01,period/depth/magnitude coverage,63,63,SPOC,120.0
TIC 15445551,15445551,WASP-87 b,1.6827917,8131.4342611,10.35,2024-09-19 10:08:01,period/depth/magnitude coverage,10,10,SPOC,120.0
TIC 358107516,358107516,TOI-2202 b,11.9124942,19304.2778014,,2024-02-15 10:08:02,period/depth/magnitude coverage,27,27;28,SPOC,120.0
TIC 272212970,272212970,HATS-67 b,1.6091845,13450.0,13.17,2023-01-24 16:02:02,period/depth/magnitude coverage,37,37,SPOC,120.0
TIC 162802770,162802770,TOI-2641 b,4.880964,3385.5526856,11.19,2024-02-15 10:08:02,period/depth/magnitude coverage,36,36,SPOC,120.0
TIC 380589029,380589029,HATS-24 b,1.3484961,18463.7636682,12.29,2024-09-09 10:08:01,period/depth/magnitude coverage,13,13,SPOC,120.0
TIC 106402532,106402532,TOI-733 b,4.8847937,478.0,8.84,2023-05-05 16:02:01,period/depth/magnitude coverage,9,9,SPOC,120.0
TIC 437261733,437261733,HATS-59 b,5.4161129,14310.0,13.3,2021-11-11 10:10:01,period/depth/magnitude coverage,36,36,SPOC,120.0
