target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,teff_k,stellar_radius_solar,stellar_mass_solar,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 741119,741119,K2-378 b,2.060438,1301.08,14.89,4823,0.732,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",91,91,SPOC,120,27,13.10
TIC 677945,677945,K2-128 b,5.675819,280.311,11.52,4469.5,0.777569,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",91,91,SPOC,120,27,4.76
TIC 2468648,2468648,K2-129 b,8.239493,701.422,11.23,3459.1,0.36001,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",92,92,SPOC,120,27,3.28
TIC 2621212,2621212,K2-199 c,7.3744897,1467.79,11.23,4491,0.682,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",91,91,SPOC,120,27,3.66
TIC 4165850,4165850,TOI-5160 b,4.2807733,452.542,10.19,5622.1,1.03315,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,18.92
TIC 4610830,4610830,K2-138 e,8.26146,1296.94,11.5,5356.3,0.863,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;70,SPOC,120,54,6.54
TIC 4646810,4646810,HD 15906 b,10.924709,729,8.872,4757,0.762,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",4,4;31,SPOC,120,54,4.94
TIC 4897275,4897275,TOI-1774.01,16.70988,508.445,7.647,5746,1.1303,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",21,21;48,SPOC,120,54,3.23
TIC 5882269,5882269,K2-284 b,4.795069,1763.01,12.04,4140,0.607,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",43,43;44;45,SPOC,120,81,16.89
TIC 6139066,6139066,K2-397 b,3.572326,526.188,11.13,5387,0.966,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",43,43;44;45,SPOC,120,81,22.67
TIC 6892385,6892385,K2-105 b,8.26726,1186.32,11.21,5373,0.905,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,9.80
TIC 8260536,8260536,TOI-5398 c,4.77271,942.804,9.581,6000,1.051,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",48,48,SPOC,120,27,5.66
TIC 8963531,8963531,K2-392 b,15.398723,256.989,12.23,5726,1.058,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;70;92,SPOC,120,81,5.26
TIC 9030096,9030096,K2-389 b,8.58289,381.258,11.13,5773,1.094,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;70;92,SPOC,120,81,9.44
TIC 9030119,9030119,K2-390 b,3.312792,1957.64,12.85,5558,0.966,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;70;92,SPOC,120,81,24.45
TIC 9054633,9054633,K2-391 b,4.622654,493.155,11.82,5543,0.566,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;70;92,SPOC,120,81,17.52
TIC 12785571,12785571,EPIC 206042996 b,5.2986,971.627,15.14,4114,0.5,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;92,SPOC,120,54,10.19
TIC 14078624,14078624,K2-179 b,5.172191,899.534,12.06,5015,0.768067,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;43;44,SPOC,120,81,15.66
TIC 14111411,14111411,K2-90 b,13.733314,1482.88,12.41,4484,0.619,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;43;44,SPOC,120,81,5.90
TIC 14160842,14160842,K2-85 b,0.68453863,326.799,11.3,4232,0.71,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;43;44,SPOC,120,81,118.33
TIC 14336130,14336130,TOI-1716.01,8.0823766,539.992,8.829,5879,1.24,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",47,47;60;73,SPOC,120,81,10.02
TIC 14570090,14570090,K2-276 b,18.718269,1653.43,13.76,5139,0.85,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,4.33
TIC 14603874,14603874,K2-347 b,7.187257,1229.97,14.08,4599,0.63,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,11.27
TIC 14635562,14635562,K2-122 b,2.2193023,324.903,11.38,4009,0.59,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,36.50
TIC 15756231,15756231,V1298 Tau d,12.401394,2056.93,9.49,4970,1.32,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",43,43;44,SPOC,120,54,4.35
TIC 17409453,17409453,K2-87 b,9.726618,2473.39,12.93,5747,1.401,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",43,43;44;70,SPOC,120,81,8.33
TIC 17307715,17307715,K2-155 c,13.85,1030,11.45,4258,0.58,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",43,43;44;71,SPOC,120,81,5.85
TIC 18310799,18310799,K2-136 c,17.30723,1650.47,10.12,4500,0.677,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;70;71,SPOC,120,81,4.68
TIC 18318288,18318288,TOI-6086 b,1.3888725,1531,12.41,3200,0.259,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",25,25;26;52,SPOC,120,81,58.32
TIC 20484888,20484888,K2-337 b,16.273563,331.128,11.81,5869,1.32,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",45,45;46;71,SPOC,120,81,4.98
TIC 21244210,21244210,K2-184 b,16.97801,322.889,9.607,5245,0.75,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,4.77
TIC 21832928,21832928,TOI-2128 b,16.34136,293.695,6.681,5968,1.1174,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",25,25;26;52,SPOC,120,81,4.96
TIC 25958378,25958378,K2-86 b,8.77683,559.019,12.25,5482,0.76,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;43;70,SPOC,120,81,9.23
TIC 26078330,26078330,K2-178 b,8.747818,1351.52,11.58,5525,0.887267,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",42,42;43;44,SPOC,120,81,9.26
TIC 26417717,26417717,Kepler-808 b,0.63133235,355.411,13.67,4653,0.71,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,128.30
TIC 26473621,26473621,Kepler-680 b,3.6899263,399.509,14.72,5890,1.11,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",80,80;81;82,SPOC,120,81,21.95
TIC 26488618,26488618,Kepler-2001 c,14.092583,530.4,15.14,5081,0.77,,catalog_pl_trandep,"known-planet recovery, shallow-end expansion",80,80;81;82,SPOC,120,81,5.75
TIC 26493559,26493559,Kepler-1895 b,6.0702901,648.48,14.86,5076,0.763,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82,SPOC,120,54,8.90
TIC 26538999,26538999,Kepler-1191 b,5.6001485,292.096,14.78,5308,0.81,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82,SPOC,120,54,9.64
TIC 26539443,26539443,Kepler-227 b,9.488015,682.988,14.82,5854,1.091,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,8.54
TIC 26541079,26541079,Kepler-669 b,4.1255469,1361.67,15.01,6038,1.2,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82,SPOC,120,54,13.09
TIC 26541093,26541093,Kepler-481 b,10.060826,442.149,13.36,5802,1.09,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,8.05
TIC 26749051,26749051,Kepler-1826 b,1.61536,774.401,14.71,3821,0.486,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",40,40;54;55,SPOC,120,81,50.14
TIC 26750065,26750065,Kepler-1210 b,8.0712407,286.988,15.05,5568,0.92,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82,SPOC,120,54,6.69
TIC 26814955,26814955,Kepler-166 b,7.650254,786.657,14.14,5413,0.742,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,10.59
TIC 26817284,26817284,Kepler-339 b,4.977656,263.493,14,5631,0.802,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,16.27
TIC 26961231,26961231,Kepler-369 c,14.871572,753.248,14.58,3591,0.471,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82,SPOC,120,54,3.63
TIC 27006192,27006192,Kepler-231 c,19.271566,1303.96,14.57,3767,0.49,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,4.20
TIC 27006340,27006340,Kepler-1679 b,9.75376,471.981,14.61,5501,0.873196,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,8.30
TIC 27006665,27006665,Kepler-675 b,2.337438,889.608,14.71,4945,0.75,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,34.65
TIC 27010191,27010191,KOI-7368 b,6.8430344,542.281,12.23,5241,0.874,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,11.84
TIC 27011135,27011135,Kepler-114 d,11.776,1844.99,13.02,,0.54,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,6.88
TIC 27039476,27039476,K2-291 b,2.225177,262.585,9.393,5520,0.899,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",43,43;71,SPOC,120,54,24.27
TIC 27064468,27064468,TOI-5126 b,5.4588385,1226.18,9.562,6150,1.241,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",45,45;46;48,SPOC,120,81,14.84
TIC 27081773,27081773,Kepler-1343 b,3.3518316,361.985,15.07,5759,0.93,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,24.17
TIC 27082352,27082352,Kepler-385 c,15.163161,612.649,14.75,6326,1.126,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,5.34
TIC 27082730,27082730,Kepler-1839 b,5.0567598,362.244,14.14,5926,0.939,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,16.02
TIC 27083727,27083727,Kepler-23 c,10.74,316.73,12.97,5828,1.548,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,7.54
TIC 27084006,27084006,Kepler-671 b,4.2809586,673.905,14.84,5624,0.95,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,18.92
TIC 27187218,27187218,Kepler-480 b,4.9195838,361.761,12.85,6322,1.34,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,16.46
TIC 27187386,27187386,Kepler-1821 b,16.458099,722.883,14.15,5475,0.884,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,4.92
TIC 27188610,27188610,Kepler-1123 b,4.3394645,289.394,14.27,5500,0.9,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,18.67
TIC 27235573,27235573,Kepler-851 b,8.5069966,328.339,14.62,5455,0.85,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,9.52
TIC 27239696,27239696,Kepler-464 b,7.2569652,362.056,12.24,5933,1.59,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,11.16
TIC 27394293,27394293,Kepler-142 c,4.761702,426.924,12.75,5790,1.269,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,17.01
TIC 27456723,27456723,Kepler-1831 b,5.7838702,318.567,14.56,6063,1.012,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,14.00
TIC 27458633,27458633,Kepler-300 b,10.446347,289.394,13.73,5986,0.9,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;81,SPOC,120,81,7.75
TIC 27458799,27458799,Kepler-1281 b,3.1160279,328.151,15.46,5353,0.83,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82,SPOC,120,54,17.33
TIC 27491137,27491137,TOI-2076 b,10.35504,981.302,8.374,,0.758,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",16,16;23;50,SPOC,120,81,7.82
TIC 27530849,27530849,Kepler-365 b,10.664903,318.478,13.88,6012,1.048,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,7.60
TIC 27532561,27532561,Kepler-1754 b,8.1959496,896.742,15.16,4723,0.747,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,9.88
TIC 27635334,27635334,K2-108 b,4.733999,770.851,11.67,5599,1.76,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,17.11
TIC 27645404,27645404,Kepler-954 b,16.781766,783.232,12.32,4990,0.76,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",40,40;41;54,SPOC,120,81,4.83
TIC 27649203,27649203,Kepler-1206 b,1.2169977,401.89,15.27,4877,0.75,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,66.56
TIC 27686898,27686898,Kepler-232 c,11.379349,1315.8,14.83,5847,0.968,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,7.12
TIC 27687265,27687265,Kepler-1856 b,1.302,379.751,14.77,4948,0.816,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,62.21
TIC 27649847,27649847,TOI-521 b,1.5428505,1859.12,12.4,3544,0.421,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",44,44;45;46,SPOC,120,81,52.50
TIC 27766596,27766596,Kepler-679 b,12.393586,1079.23,14.99,5403,0.84,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,6.54
TIC 27766705,27766705,Kepler-1404 b,15.931474,530.583,15.14,5261,0.8,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,5.08
TIC 27767452,27767452,Kepler-181 c,4.302149,593.313,14.16,5333,0.749,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,18.83
TIC 27774043,27774043,Kepler-843 b,2.0538798,531.455,14.77,5830,1.03,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,39.44
TIC 27776660,27776660,Kepler-1061 b,2.7579827,287.809,12.81,6067,1.07,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,29.37
TIC 27843707,27843707,Kepler-554 b,1.9022086,1827.6,13.77,5447,0.92,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,42.58
TIC 27843776,27843776,Kepler-233 b,8.472382,863.805,14.77,5360,0.758,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,9.56
TIC 27847148,27847148,Kepler-534 b,15.959945,439.122,12.79,5884,0.98,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,5.08
TIC 27912642,27912642,Kepler-1212 b,12.941301,291.054,14.56,6051,1.15,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,6.26
TIC 27913951,27913951,Kepler-1862 b,16.057301,627.914,15.31,5644,0.806,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,5.04
TIC 27914290,27914290,Kepler-998 b,5.6537773,324.903,13.87,6058,1.18,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,14.33
TIC 27914389,27914389,Kepler-524 b,7.9741981,253.41,13.42,6014,1.1,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,10.16
TIC 27988327,27988327,Kepler-107 e,14.749143,338.297,12.01,5854,1.447,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,5.49
TIC 27988995,27988995,Kepler-665 b,16.013102,1037.59,14.75,4913,0.74,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",76,76;81;83,SPOC,120,81,5.06
TIC 27990682,27990682,Kepler-1363 b,2.9419409,253.336,14.62,4839,0.72,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,27.53
TIC 27991150,27991150,Kepler-1964 b,2.44083,547.252,15.43,4803,0.698,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,33.19
TIC 28159194,28159194,Kepler-1004 b,5.2878979,288.444,12.72,4972,3.39,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",81,81;82;83,SPOC,120,81,15.32
TIC 28229515,28229515,Kepler-1645 b,16.177956,255.965,13.95,5812,1.02,,derived_from_pl_rade_st_rad,"known-planet recovery, shallow-end expansion",74,74;75;76,SPOC,120,81,5.01
