target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 1003831,1003831,TOI-564 b,1.651144,9200,10.67,catalog_pl_trandep,survey-wide known-planet recovery rate,99,99,SPOC,120,20.78,12.59
TIC 1309019,1309019,NGTS-17 b,3.24253,9083.52,13.77,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.42,15.86
TIC 1333933,1333933,NGTS-15 b,3.27623,14039.8,13.96,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,51.39,15.69
TIC 1528696,1528696,NGTS-6 b,0.882059,32660.3,13.17,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,54.47
TIC 2760219,2760219,TOI-2382 b,4.6612061,6280,11.44,catalog_pl_trandep,survey-wide known-planet recovery rate,96,96,SPOC,120,22.03,4.73
TIC 4070275,4070275,TOI-4364 b,5.424019,1780,11.4,catalog_pl_trandep,survey-wide known-planet recovery rate,5,5;32;98,SPOC,120,81,14.93
TIC 4918918,4918918,Wolf 327 b,0.5734745,784.03,10.78,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,21,21;48,SPOC,120,54,94.16
TIC 6663331,6663331,HATS-28 b,3.1810781,17710.1,13.29,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,22.11,6.95
TIC 7088246,7088246,HATS-23 b,2.1605156,25413.4,13.29,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,22.11,10.24
TIC 9006668,9006668,TOI-238 b,1.273099,357.429,9.927,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,96,96,SPOC,120,22.08,17.34
TIC 9344899,9344899,TIC 9344899 b,8.5821566,7100,12.73,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,50.54,5.89
TIC 9385460,9385460,HATS-31 b,3.37796,8122.31,12.53,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,101,101,SPOC,120,21.81,6.46
TIC 9989136,9989136,TOI-5734 b,6.1841876,907.776,8.545,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,20,20;47;60,SPOC,120,81,13.10
TIC 10837041,10837041,TOI-2411 b,0.7826942,513.029,10.42,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,97,97,SPOC,120,50.1,64.01
TIC 11561667,11561667,HATS-77 b,3.0876262,34687.6,14.92,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,99,99,SPOC,120,25.66,8.31
TIC 12421862,12421862,TOI-198 b,10.215213,892.9,9.928,catalog_pl_trandep,survey-wide known-planet recovery rate,2,2;29;69,SPOC,120,81,7.93
TIC 13021029,13021029,WASP-61 b,3.8559,8800,11.72,catalog_pl_trandep,survey-wide known-planet recovery rate,98,98,SPOC,120,48.05,12.46
TIC 13349647,13349647,WASP-36 b,1.537366,19166.6,12.21,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,99,99,SPOC,120,21.65,14.08
TIC 14614418,14614418,HATS-18 b,0.83784,17927.7,13.39,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.86,27.28
TIC 14661418,14661418,HATS-22 b,4.7228124,20203.3,12.48,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.77,4.82
TIC 15445551,15445551,WASP-87 b,1.682795,7650,10.35,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,23.19,13.78
TIC 19028197,19028197,GJ 3470 b,3.3366496,5866.77,10.25,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,44,44;45;46,SPOC,120,81,24.28
TIC 19342878,19342878,WASP-149 b,1.332813,16834,10.8,catalog_pl_trandep,survey-wide known-planet recovery rate,99,99,SPOC,120,21.97,16.49
TIC 19684256,19684256,HATS-52 b,1.3666544,18434.4,13.18,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,99,99,SPOC,120,23.5,17.20
TIC 21113347,21113347,HATS-58 A b,4.2180896,6166.11,11.4,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.38,5.54
TIC 22221375,22221375,HD 86226 c,3.98442,353.665,7.364,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.13,5.80
