target,tic_id,ra,dec,tmag,teff_k,radius_solar,distance_pc,contamination_ratio,gaia_source_id
TIC 441807873,441807873,266.29626874917,73.66797996174,12.505,3900.0,0.594,117.345,0.0027,1652474274702852352
TIC 275691658,275691658,286.99786024341,60.45268551763,12.506,3871.0,0.598,117.373,0.0488,2155734937307901312
TIC 233086272,233086272,272.16628180574,64.2115389389,12.507,3699.0,0.544,98.9748,0.0242,2161073478576647936
TIC 341816210,341816210,267.53230614569,55.64640942477,12.507,3420.0,0.432,63.6089,0.2285,1418202740920930816
TIC 233211759,233211759,266.77271251539,70.77961680577,12.51,3489.0,0.323,46.6227,0.0228,1638976257642500480
TIC 259039250,259039250,290.54699496559,70.83112106881,12.524,3480.0,0.394,60.1256,0.1306,2262681547123067392
TIC 237219280,237219280,295.72257221029,73.51576775983,12.526,3912.0,0.494,94.1956,0.0227,2264162176968940928
TIC 353735240,353735240,276.19923167134,58.10868336406,12.529,3497.0,0.558,97.7601,0.0178,2151500477511161088
TIC 198185138,198185138,245.60288335838,62.07973479451,12.53,3744.0,0.536,97.8241,0.033,1628252445859419008
TIC 256375401,256375401,298.5452995377,64.28000779553,12.533,3897.0,0.563,111.79,0.1145,2247391291752773376
TIC 219807827,219807827,266.56383959872,61.42123368647,12.537,3702.0,0.518,92.1283,0.0719,1436208790013880576
TIC 229611412,229611412,274.90208314287,72.48915708895,12.54,3531.0,0.431,71.2171,0.0522,2266664287476890240
TIC 229975545,229975545,289.99858485858,60.03586506477,12.54,3837.0,0.576,113.163,0.0568,2239520403404818176
TIC 307987410,307987410,257.43338072331,61.62992955404,12.54,3940.0,0.592,122.358,0.0133,1438467977171319680
TIC 165551882,165551882,266.76625634544,57.22476105257,12.544,3429.0,0.323,48.049,0.0434,1421760279512055808
TIC 219810383,219810383,267.01133738674,63.33847049657,12.546,3523.0,0.45,73.8199,0.0067,1439789006032014336
TIC 298781419,298781419,278.64626960484,57.7769108981,12.546,3735.0,0.547,103.539,0.0107,2154254616699762560
TIC 233728450,233728450,277.00937358231,62.86449662897,12.55,3865.0,0.578,116.288,0.0205,2160325432712844416
TIC 376879869,376879869,283.78178224614,74.01535338627,12.55,3669.0,0.529,95.8109,0.0813,2267813517646939008
TIC 307955351,307955351,256.67318387586,60.48195318598,12.551,3625.0,0.409,67.3977,0.004,1437587027839518464
TIC 233657951,233657951,259.65770010462,61.43208717628,12.554,3887.0,0.588,118.768,0.0118,1437756833666671488
TIC 165530589,165530589,266.45005813714,58.88861773586,12.558,3159.0,0.267,32.0218,0.0981,1422937203630815488
TIC 229483270,229483270,295.72320227467,62.26793217313,12.558,3937.0,0.563,114.195,0.0583,2240982960028550016
TIC 237098529,237098529,239.9397333861,70.69154562985,12.559,3689.0,0.555,103.801,0.0011,1647921575008098560
TIC 406927364,406927364,287.34867578069,58.32387646676,12.562,3752.0,0.536,100.108,0.0967,2143109279646536064
TIC 280074384,280074384,298.21407482499,67.53483076287,12.563,3577.0,0.499,85.5625,0.3951,2249148276973131136
TIC 229713960,229713960,278.79948547758,66.15382539258,12.567,3959.0,0.588,123.857,0.0386,2256999511551394432
TIC 230377324,230377324,285.15367503988,60.5592714309,12.569,3839.0,0.57,114.26,0.151,2155879420007758848
TIC 233614943,233614943,283.73321662377,61.83116736851,12.574,3755.0,0.544,103.296,0.0631,2156844275821597312
TIC 198210588,198210588,247.88635867328,62.21693475618,12.575,3781.0,0.561,109.717,8.0E-4,1625633787118451200
TIC 233060935,233060935,269.88333176316,61.1113503789,12.58,3561.0,0.53,91.097,0.0075,1435240360788783232
TIC 362258727,362258727,286.53841831383,76.61453635907,12.58,3204.0,0.271,33.725,0.0057,2292548371742214528
TIC 165501015,165501015,265.72911856991,57.35925289734,12.582,3919.0,0.558,112.364,0.0013,1422198915932247680
TIC 232607180,232607180,258.15723855917,60.5539875637,12.588,3570.0,0.393,64.6659,0.0169,1437558749774750976
TIC 230087050,230087050,247.18389865001,66.85480225424,12.589,3513.0,0.432,69.6542,0.1034,1648387939737462656
TIC 229581854,229581854,270.50632426767,73.12341529159,12.593,3522.0,0.574,105.585,0.0119,2266950332298087040
TIC 320525039,320525039,264.9447830933,55.68342380876,12.594,3657.0,0.522,95.5884,0.0049,1421056420271734272
TIC 280070427,280070427,297.93764022792,69.31678127717,12.596,3388.0,0.326,47.6881,0.0406,2251008856805013760
TIC 233124171,233124171,273.61600774463,62.07871461441,12.598,3766.0,0.534,102.177,0.0042,2159115110929160320
TIC 441714800,441714800,253.80701814182,75.39196079933,12.601,3672.0,0.555,105.126,0.0121,1656566210304675072
TIC 198388593,198388593,258.09516118855,56.03186567342,12.604,3850.0,0.583,118.9,2.0E-4,1432349744718684160
TIC 237103217,237103217,240.93896316503,69.39753653399,12.604,3700.0,0.543,103.154,0.0039,1646956890993615104
TIC 258873648,258873648,288.31862900463,68.68461426439,12.604,3686.0,0.492,89.6681,0.0249,2261980608461492352
TIC 229798009,229798009,285.35247816505,71.81171645991,12.613,3884.0,0.545,109.329,0.0511,2263017654083713280
TIC 233735382,233735382,277.62877476143,60.39752033126,12.616,3664.0,0.569,108.171,0.01,2158009139671230720
TIC 230135143,230135143,252.72137396207,68.75917946502,12.617,3798.0,0.554,109.227,0.0845,1648966798249460224
TIC 237099895,237099895,240.13753736749,66.11349645457,12.617,3672.0,0.478,87.1379,0.004,1642850318142259712
TIC 377054794,377054794,285.19372377711,59.59073496871,12.617,3763.0,0.562,111.768,0.0177,2155439512277714944
TIC 219429281,219429281,254.43291665167,61.69724307521,12.619,3535.0,0.512,89.6423,0.0071,1630471260323402112
TIC 233545908,233545908,281.56744417152,61.17218822316,12.622,3839.0,0.493,95.8315,0.1014,2156379766518405248
TIC 219087338,219087338,268.40759302667,71.62486782124,12.628,3936.0,0.595,127.34,0.002,1639227152452158208
TIC 353898013,353898013,271.89985371913,56.32422873225,12.629,3230.0,0.328,43.8758,0.0227,2150363719926715520
TIC 259036250,259036250,290.17580102086,66.29847172924,12.63,3897.0,0.596,125.277,0.0205,2254843575406746112
TIC 416193088,416193088,285.63993266664,69.73352966151,12.63,3892.0,0.591,126.009,0.003,2262363479024817792
TIC 243336237,243336237,290.0365746484,59.46207197204,12.633,3252.0,0.388,56.5714,0.0428,2143425732837222784
TIC 229454246,229454246,294.26918005037,61.95686121931,12.635,3438.0,0.527,91.5837,0.0265,2240919050914706688
TIC 233208400,233208400,266.33683026016,70.90154106703,12.635,3615.0,0.542,101.43,0.2024,1639075866523951744
TIC 229598094,229598094,273.56255302698,73.38886635235,12.636,3460.0,0.413,65.6844,0.0684,2267291112183222528
TIC 233501675,233501675,250.65567423627,73.39728784452,12.636,3634.0,0.452,80.1148,0.003,1654658626349599360
TIC 284900411,284900411,260.97493076257,57.06684421633,12.636,3925.0,0.588,126.36,0.0288,1432883759476325760
TIC 229507871,229507871,297.08647489841,63.29315002072,12.637,3450.0,0.385,60.9354,0.0666,2241424551386344320
TIC 229615081,229615081,278.03557071361,74.83016579332,12.638,3345.0,0.336,49.509,0.0016,2268835750310316416
TIC 341839537,341839537,267.85654823215,57.49703789896,12.638,3609.0,0.41,70.2889,0.0842,1421781616909489536
TIC 356893337,356893337,272.86530994601,58.74561029084,12.638,3271.0,0.278,37.0581,0.0146,2152373970779309440
TIC 233684437,233684437,260.82182922418,63.55758094269,12.642,3670.0,0.578,114.829,0.0293,1440405144861194368
TIC 165498437,165498437,265.18032357366,56.68492350342,12.646,3441.0,0.335,50.9777,0.0061,1421366826148660864
TIC 236769908,236769908,274.22971251232,67.82665494326,12.646,3898.0,0.59,125.02,0.9829,2258213372385766144
TIC 424388104,424388104,281.02180695158,77.78996499654,12.646,3992.0,0.517,107.826,0.0198,2292857471948827136
TIC 232634180,232634180,269.39831263679,56.22021103174,12.649,3620.0,0.52,95.6284,0.3063,1418337568534408704
TIC 229764062,229764062,281.70844923302,71.96621530983,12.65,3696.0,0.456,85.2045,0.0357,2265999254740508672
TIC 284889132,284889132,260.41171363111,58.08558439142,12.654,3572.0,0.391,66.148,0.0041,1433164414115387776
TIC 298289582,298289582,251.60355106966,59.29311911844,12.655,3868.0,0.577,120.586,0.0512,1431851391073498624
TIC 441809255,441809255,266.51630329891,73.85080978993,12.659,3385.0,0.347,52.2476,0.0111,1652490217621580288
TIC 198414922,198414922,259.57644759896,55.91631621692,12.66,3858.0,0.585,123.337,0.0017,1420663757181266048
TIC 233072899,233072899,271.15205409465,61.40197809024,12.663,3808.0,0.522,103.641,0.1551,2158886721748451840
TIC 233208639,233208639,266.34285218736,70.10057897728,12.665,3502.0,0.44,73.5761,0.0038,1638793532553738752
TIC 229973176,229973176,290.03376931014,62.98793863604,12.669,3260.0,0.401,56.8717,0.044,2240524738556548864
TIC 233733207,233733207,277.52351814251,64.82351557137,12.672,3391.0,0.367,55.9813,0.0371,2256627292504045440
TIC 233123014,233123014,273.62683141133,64.4939148571,12.673,3665.0,0.574,114.332,0.0848,2161280736518936704
TIC 377159677,377159677,285.6273750325,57.19015257292,12.673,3768.0,0.55,111.48,0.414,2153453381961206528
TIC 320504102,320504102,264.61496258597,59.79708460422,12.674,3441.0,0.412,65.132,0.0131,1434925797383133312
TIC 229650375,229650375,280.88560498515,74.77544045321,12.676,3558.0,0.511,90.8821,0.0629,2268046167434287104
TIC 441792976,441792976,262.99939403276,74.12837836611,12.676,3511.0,0.539,99.362,0.0072,1655645438034987648
TIC 229937722,229937722,287.69033220616,63.28540426304,12.679,3773.0,0.544,109.418,0.0108,2252501336464563200
TIC 233051855,233051855,269.18770380906,60.44572875498,12.681,3676.0,0.428,77.0666,0.1632,1435159546684050176
TIC 229963163,229963163,289.38466393274,65.16798675586,12.682,3372.0,0.361,55.6555,0.0126,2254303921357211136
TIC 390018919,390018919,277.4370048256,55.92167438776,12.683,3721.0,0.565,113.654,0.0112,2150659797792098304
TIC 232616666,232616666,259.44034036275,64.52772932598,12.684,3356.0,0.355,53.8103,0.0274,1631358394408506624
TIC 376849566,376849566,276.16315618036,66.75026717892,12.686,3622.0,0.554,105.133,0.1447,2257272705830748800
TIC 232611481,232611481,259.02625763826,60.37350525558,12.687,3974.0,0.597,130.837,0.0318,1437440998951778688
TIC 219104885,219104885,270.79987005495,71.67225628724,12.69,3609.0,0.519,97.0285,0.1315,2260763105490977024
TIC 289581681,289581681,252.41639342317,65.17798490795,12.69,3609.0,0.479,87.2857,0.2747,1635050966771922688
TIC 287149955,287149955,253.66301664899,62.64591570129,12.691,3225.0,0.228,29.7585,0.0012,1630809153990860032
TIC 232611387,232611387,258.86714005061,60.09813328482,12.698,3655.0,0.554,108.016,0.0311,1437328848765400704
