target,tic_id,sectors,ra,dec,tmag,teff_k,radius_solar,distance_pc,contamination_ratio,gaia_source_id
TIC 229446409,229446409,14;15;16,293.88127986785,61.05972836364,13.503,3867.0,0.595,186.134,0.0135,2239348810871270528
TIC 259037564,259037564,14;15;16,290.59242099682,67.68922942577,13.504,3657.0,0.429,111.02,0.0057,2261124741737693312
TIC 230390579,230390579,14;15;16,285.99912715025,60.12459118004,13.505,3633.0,0.519,141.989,0.1001,2155668451214834560
TIC 233571326,233571326,14;15;16,281.95332066453,62.50117305702,13.505,3607.0,0.507,135.248,0.1403,2157121765067846784
TIC 441768423,441768423,14;15;16,261.87651365255,75.70374665335,13.505,3852.0,0.533,160.104,0.013,1656782229979200768
TIC 233061797,233061797,14;15;16,270.16718868314,60.56033993405,13.506,3750.0,0.567,169.282,0.4592,2158727223842667136
TIC 441760371,441760371,14;15;16,260.50443480415,73.21350139759,13.506,3823.0,0.592,182.232,0.0518,1652223586050870656
TIC 233711692,233711692,14;15;16,275.90041060009,62.26492508441,13.508,3398.0,0.542,139.188,0.0061,2159874323708109568
TIC 280071754,280071754,14;15;16,298.03401426979,71.87921391609,13.508,3690.0,0.579,173.051,0.0342,2263780440275720960
TIC 392569934,392569934,14;15;16,280.64381583915,55.79715796842,13.508,3710.0,0.561,166.178,0.0318,2147875009715344896
TIC 219857065,219857065,14;15;16,257.35578839868,71.69509413451,13.509,3908.0,0.587,184.795,0.0041,1651778352560814592
TIC 233622554,233622554,14;15;16,284.12978618974,63.13048282958,13.509,3444.0,0.426,101.772,0.0032,2253093255973745920
TIC 357517794,357517794,14;15;16,267.7333297594,77.95694242884,13.509,3939.0,0.583,186.539,0.0032,1657313431534264064
TIC 383677269,383677269,14;15;16,279.1661254536,64.34881557827,13.509,3742.0,0.536,156.115,0.0013,2256364681022773504
TIC 229780807,229780807,14;15;16,283.51332388213,71.48900352308,13.51,3809.0,0.533,159.716,0.0102,2265914867223005440
TIC 424384597,424384597,14;15;16,277.0224305008,73.35974693326,13.511,3776.0,0.579,175.399,0.003,2267146560763949568
TIC 198238432,198238432,14;15;16,249.31917752454,65.12082934992,13.512,3603.0,0.596,174.953,0.0086,1635184866672266752
TIC 284900972,284900972,14;15;16,260.89241715219,55.38452295789,13.513,3496.0,0.518,131.841,0.0063,1420473472950166528
TIC 289570215,289570215,14;15;16,251.94956561806,62.19687249935,13.514,3794.0,0.58,176.008,0.013,1630688448230072576
TIC 165530667,165530667,14;15;16,266.39883116161,58.61995584752,13.515,3931.0,0.592,192.629,0.0028,1422882915244161280
TIC 199632976,199632976,14;15;16,250.55100320793,59.81313261808,13.515,3534.0,0.41,102.295,0.1334,1432100121219740032
TIC 230117182,230117182,14;15;16,249.35513262813,68.34144284103,13.515,3753.0,0.595,184.22,1.0E-4,1648760536739862400
TIC 390022666,390022666,14;15;16,277.64276532097,58.16461561934,13.515,3761.0,0.472,133.279,0.0094,2157280610138258816
TIC 219892426,219892426,14;15;16,262.70468669389,66.72866456258,13.517,3794.0,0.589,180.452,0.0119,1633926132017792512
TIC 258871921,258871921,14;15;16,287.7614511839,66.12354938092,13.517,3706.0,0.553,158.163,0.0077,2254592440080388608
TIC 334831492,334831492,14;15;16,250.62071166335,60.42292111636,13.518,3623.0,0.444,117.136,0.0445,1624334091359646720
TIC 230395424,230395424,14;15;16,286.66202291256,63.36826037807,13.519,3642.0,0.438,114.864,0.1503,2252698703098557056
TIC 230127239,230127239,14;15;16,251.33597399969,70.21100530675,13.52,3861.0,0.585,184.742,0.0012,1650092285839304320
TIC 233610173,233610173,14;15;16,283.19125382599,65.56101555339,13.52,3944.0,0.559,175.252,0.0073,2253952833549392896
TIC 233723666,233723666,14;15;16,276.50881483384,61.29152502645,13.52,3473.0,0.423,102.457,0.0034,2158261615027955584
TIC 287079870,287079870,14;15;16,243.47794660975,64.30656707133,13.52,3717.0,0.58,172.52,7.0E-4,1629659717663425792
TIC 353819035,353819035,14;15;16,270.42314170988,56.9771890149,13.521,3887.0,0.537,163.702,0.1778,2150453742441438464
TIC 394129565,394129565,14;15;16,288.93980304236,74.72183047627,13.521,3758.0,0.554,164.419,0.0015,2265277013041082624
TIC 230079468,230079468,14;15;16,245.17074093214,69.2977196621,13.522,3446.0,0.436,105.308,0.0104,1649799472148944896
TIC 230075817,230075817,14;15;16,244.3653074189,66.43890244335,13.523,3574.0,0.495,133.407,0.0062,1642454116000401920
TIC 233195949,233195949,14;15;16,264.2057866573,70.23038984205,13.523,3615.0,0.547,152.901,0.0206,1638845205304678784
TIC 233617997,233617997,14;15;16,283.96318658241,64.23911847763,13.523,3685.0,0.523,147.613,0.0663,2253571887129265664
TIC 219858131,219858131,14;15;16,257.43172003134,67.74546960836,13.524,3556.0,0.547,145.636,0.0038,1635929579642082048
TIC 233746487,233746487,14;15;16,278.67207836913,62.29422523276,13.524,3540.0,0.428,111.496,0.0446,2160061549922234496
TIC 233078882,233078882,14;15;16,271.4613941734,62.67457366505,13.527,3862.0,0.592,187.124,0.0078,2159393081212269568
TIC 233570875,233570875,14;15;16,281.9579729807,63.39501538965,13.527,3738.0,0.593,184.026,0.0026,2253250829733273216
TIC 421308028,421308028,14;15;16,288.78263647286,58.24409688812,13.527,3669.0,0.507,141.118,0.1354,2143432467345187968
TIC 229412070,229412070,14;15;16,293.15591283811,62.03566423123,13.528,3964.0,0.595,195.117,0.0098,2240180900654754944
TIC 359552793,359552793,14;15;16,279.42732990769,56.96771856534,13.528,3839.0,0.595,186.435,0.3076,2154147448675480192
TIC 233127050,233127050,14;15;16,273.96901530619,63.23017424573,13.529,3426.0,0.444,106.201,0.0038,2160773689859971584
TIC 233205372,233205372,14;15;16,265.81755120698,67.68775941584,13.529,3693.0,0.518,146.839,0.006,1634562062054274816
TIC 259037885,259037885,14;15;16,290.69614141606,68.19898407523,13.529,3939.0,0.569,181.811,0.0021,2261236307808194048
