target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 53932818,53932818,100,100,8.22,159.106,-31.5507,1,1,8799.0,2.47674,2.21,270.74,DWARF,2,2.431761,1
TIC 410411663,410411663,100,100,8.61,167.1148,-18.1137,1,2,7029.0,2.14402,1.55,214.528,DWARF,2,2.384458,2
TIC 54964736,54964736,100,100,9.06,160.407,-11.4116,1,3,7510.0,1.93519,1.732,260.149,DWARF,2,2.385447,3
TIC 396810174,396810174,100,100,9.14,147.7821,-13.5281,1,4,7872.0,1.91704,1.879,286.773,DWARF,2,2.393262,4
TIC 303583303,303583303,100,100,8.69,160.1027,-50.1,2,1,8726.0,2.11608,2.19,264.698,DWARF,2,2.389064,5
TIC 181155969,181155969,100,100,8.33,174.1445,-41.4677,2,2,7572.0,2.27086,1.76,219.039,DWARF,2,2.378381,6
TIC 389302435,389302435,100,100,8.94,183.7887,-34.0195,2,3,6715.0,2.09241,1.43,224.657,DWARF,2,2.429294,7
TIC 178660869,178660869,100,100,8.32,165.8743,-43.0228,2,4,6824.0,2.30817,1.47,189.625,DWARF,2,2.390536,8
TIC 248166372,248166372,100,100,8.32,194.1253,-46.2094,3,1,9432.0,2.27813,2.4,278.061,DWARF,2,2.379157,9
TIC 376001917,376001917,100,100,9.39,178.9565,-57.2239,3,2,9734.0,1.78946,2.48,352.603,DWARF,2,2.383444,10
TIC 360945316,360945316,100,100,8.97,191.1558,-74.5044,3,3,7759.0,1.96377,,221.72,DWARF,2,2.380181,11
TIC 413196911,413196911,100,100,9.6,214.6546,-55.8059,3,4,7824.0,1.69422,1.86,286.438,DWARF,2,2.37794,12
TIC 263606058,263606058,100,100,9.53,234.705,-69.1895,4,1,7340.0,1.72415,1.67,279.277,DWARF,2,2.37915,13
TIC 402177975,402177975,100,100,8.45,220.2603,-73.8254,4,2,8076.0,2.22802,1.96,243.255,DWARF,2,2.385838,14
TIC 382252939,382252939,100,100,7.04,286.948,-68.884,4,3,8671.0,3.09964,2.17,193.973,DWARF,2,2.390623,15
TIC 303612770,303612770,100,100,8.97,271.9942,-62.8857,4,4,7745.0,1.95889,,245.428,DWARF,2,2.37802,16
TIC 193220694,193220694,100,100,7.39,157.7708,-24.18,1,1,6916.0,3.14158,1.508,173.416,DWARF,2,2.472296,17
TIC 14616122,14616122,100,100,8.86,173.8479,-24.5706,1,2,5951.96,2.13294,1.089,179.525,DWARF,2,2.429957,18
TIC 385307035,385307035,100,100,8.58,167.5638,-14.3059,1,3,7615.0,2.23416,1.774,244.203,DWARF,2,2.414229,19
TIC 308020274,308020274,100,100,9.31,155.1821,-17.265,1,4,7441.0,1.94383,1.705,289.041,DWARF,2,2.439317,20
TIC 458932349,458932349,100,100,9.03,161.3258,-54.2838,2,1,7762.0,1.96186,1.83,262.654,DWARF,2,2.391336,21
TIC 61940747,61940747,100,100,9.9,177.8858,-44.9667,2,2,7396.0,1.59775,1.69,303.184,DWARF,2,2.387018,22
TIC 389258071,389258071,100,100,9.26,182.613,-34.6041,2,3,7753.0,1.97062,1.83,298.523,DWARF,2,2.441206,23
TIC 158586156,158586156,100,100,8.18,164.53,-38.7132,2,4,8242.0,2.39943,2.02,237.414,DWARF,2,2.396216,24
TIC 256467019,256467019,100,100,8.43,200.0561,-55.7656,3,1,8654.0,2.2287,2.17,234.247,DWARF,2,2.382103,25
TIC 451678276,451678276,100,100,7.23,172.143,-58.142,3,2,10807.0,2.97902,2.81,245.648,DWARF,2,2.394147,26
TIC 328024785,328024785,100,100,7.15,190.1321,-70.5467,3,3,7642.0,3.00187,1.79,167.098,DWARF,2,2.384784,27
TIC 290212747,290212747,100,100,7.64,205.29,-59.2278,3,4,10209.0,2.66709,2.62,241.072,DWARF,2,2.380075,28
TIC 262560353,262560353,100,100,8.54,229.1322,-67.8783,4,1,8828.0,2.16624,2.22,273.71,DWARF,2,2.379413,29
TIC 426281307,426281307,100,100,9.78,240.9336,-74.1308,4,2,8119.0,1.65045,1.98,332.471,DWARF,2,2.391205,30
TIC 404218460,404218460,100,100,9.97,303.7297,-73.5276,4,3,7562.0,1.58596,1.75,321.391,DWARF,2,2.394584,31
TIC 307059112,307059112,100,100,8.93,267.2786,-63.8126,4,4,7929.0,1.97733,1.9,267.532,DWARF,2,2.378158,32
TIC 308887516,308887516,100,100,8.52,150.3957,-26.6686,1,1,6388.0,2.5026,1.278,208.401,DWARF,2,2.500783,33
TIC 363380864,363380864,100,100,9.24,163.8805,-24.0234,1,2,6402.2,2.01055,,171.581,DWARF,2,2.45463,34
TIC 56652182,56652182,100,100,8.65,158.3524,-10.7961,1,3,7005.0,2.21465,1.541,222.426,DWARF,2,2.42061,35
TIC 52027628,52027628,100,100,8.88,149.1746,-20.8443,1,4,5974.0,2.15299,1.097,189.479,DWARF,2,2.442084,36
TIC 272789865,272789865,100,100,8.41,161.5683,-51.9217,2,1,6006.0,2.27828,1.11,157.838,DWARF,2,2.397214,37
TIC 22566061,22566061,100,100,9.96,184.8246,-44.5872,2,2,7351.0,1.57981,1.67,303.249,DWARF,2,2.38921,38
TIC 397367393,397367393,100,100,8.8,177.5748,-29.1289,2,3,6416.0,2.2642,1.292,215.032,DWARF,2,2.46983,39
TIC 158545518,158545518,100,100,7.86,164.3729,-37.8424,2,4,7610.0,2.66301,1.77,207.637,DWARF,2,2.422746,40
TIC 255778355,255778355,100,100,9.36,186.1442,-50.8529,3,1,8045.0,1.80237,1.95,294.287,DWARF,2,2.383688,41
TIC 398883503,398883503,100,100,9.36,180.5732,-59.2009,3,2,7399.0,1.83542,,284.042,DWARF,2,2.399471,42
TIC 328241331,328241331,100,100,8.76,190.212,-67.7403,3,3,8114.0,2.07515,1.97,260.56,DWARF,2,2.386099,43
TIC 292173590,292173590,100,100,8.56,218.2836,-57.2654,3,4,6643.0,2.16005,1.4,182.636,DWARF,2,2.380928,44
TIC 363372886,363372886,100,100,9.36,248.8785,-67.1135,4,1,7423.8,1.79775,1.7,265.545,DWARF,2,2.381459,45
TIC 384153632,384153632,100,100,9.45,243.5899,-80.8448,4,2,8359.0,1.78889,2.07,304.823,DWARF,2,2.395167,46
TIC 310952994,310952994,100,100,9.63,255.8204,-73.6289,4,3,7355.0,1.72324,1.67,291.289,DWARF,2,2.398692,47
TIC 303487343,303487343,100,100,7.57,256.9472,-63.8367,4,4,8340.0,2.71,2.06,207.028,DWARF,2,2.379939,48
TIC 71493811,71493811,100,100,8.35,155.4897,-30.6846,1,1,6168.0,2.6508,1.176,192.887,DWARF,2,2.516754,49
TIC 437269640,437269640,100,100,8.27,174.0288,-22.4792,1,2,5983.0,2.5393,1.1,169.25,DWARF,2,2.463428,50
TIC 55110023,55110023,100,100,9.22,162.4325,-11.1105,1,3,7385.0,2.26468,1.683,320.761,DWARF,2,2.554014,51
TIC 101110749,101110749,100,100,9.23,152.6307,-15.625,1,4,8830.0,2.01417,2.221,352.919,DWARF,2,2.454192,52
TIC 146584885,146584885,100,100,9.66,159.3038,-46.3504,2,1,7483.0,1.74413,1.72,296.518,DWARF,2,2.415158,53
TIC 134868233,134868233,100,100,9.15,183.6895,-37.7752,2,2,7186.0,1.90738,1.61,246.009,DWARF,2,2.390874,54
TIC 181204508,181204508,100,100,7.62,174.6682,-39.2481,2,3,8383.0,2.98446,2.07,227.439,DWARF,2,2.473732,55
TIC 146715928,146715928,100,100,8.72,160.0357,-43.0807,2,4,7732.0,2.27796,1.82,266.963,DWARF,2,2.459092,56
TIC 245382003,245382003,100,100,8.48,199.7762,-53.0787,3,1,9812.0,2.20958,2.51,279.072,DWARF,2,2.384619,57
TIC 450463645,450463645,100,100,9.15,186.2624,-61.3775,3,2,8217.0,1.94832,2.01,289.657,DWARF,2,2.409321,58
TIC 448944029,448944029,100,100,7.94,214.8835,-68.6359,3,3,5403.0,2.50899,0.94,116.782,DWARF,2,2.386998,59
TIC 325824592,325824592,100,100,7.41,209.9926,-65.5422,3,4,8430.0,2.82676,2.09,198.853,DWARF,2,2.384578,60
TIC 427035743,427035743,100,100,8.43,237.441,-67.1801,4,1,8715.0,2.23118,,246.873,DWARF,2,2.383069,61
TIC 361078758,361078758,100,100,8.96,242.0449,-70.8146,4,2,7343.0,2.01185,1.67,248.524,DWARF,2,2.399191,62
TIC 352002450,352002450,100,100,7.7,283.0418,-73.6082,4,3,8567.0,2.69421,2.14,221.355,DWARF,2,2.400863,63
TIC 365601841,365601841,100,100,8.56,274.0892,-63.3402,4,4,8980.0,2.15872,2.27,280.895,DWARF,2,2.380393,64
TIC 47725074,47725074,100,100,8.53,158.9729,-29.1295,1,1,7460.0,2.54519,1.712,267.442,DWARF,2,2.51744,65
TIC 1542182,1542182,100,100,8.92,169.5876,-16.5514,1,2,7240.0,2.2002,1.627,264.375,DWARF,2,2.468924,66
TIC 396900611,396900611,100,100,8.24,168.7252,-11.2342,1,3,6334.0,2.93436,1.25,211.649,DWARF,2,2.583027,67
TIC 286680386,286680386,100,100,8.92,152.7417,-19.9569,1,4,5356.6,2.18533,,97.4242,DWARF,2,2.463034,68
TIC 304229131,304229131,100,100,8.28,164.9137,-55.0295,2,1,6665.0,2.45061,1.41,192.317,DWARF,2,2.434548,69
TIC 72754292,72754292,100,100,9.38,188.3091,-46.7895,2,2,8028.0,1.82147,1.94,302.376,DWARF,2,2.396844,70
TIC 165560320,165560320,100,100,9.82,180.8837,-36.9155,2,3,7118.0,1.85328,1.58,320.106,DWARF,2,2.499882,71
TIC 71546531,71546531,100,100,8.84,155.758,-34.1411,2,4,6761.0,2.23868,1.45,230.249,DWARF,2,2.467984,72
TIC 244866715,244866715,100,100,9.93,196.6117,-48.3454,3,1,7504.0,1.60047,1.73,311.083,DWARF,2,2.394495,73
TIC 466628058,466628058,100,100,8.86,166.3678,-61.8453,3,2,8325.0,2.14025,,273.217,DWARF,2,2.432929,74
TIC 309809796,309809796,100,100,8.82,184.832,-65.8264,3,3,8015.0,2.04956,,229.095,DWARF,2,2.387321,75
TIC 449500995,449500995,100,100,8.09,200.1782,-60.8607,3,4,7848.0,2.42743,1.87,207.182,DWARF,2,2.388293,76
TIC 343592521,343592521,100,100,9.23,241.1797,-64.8337,4,1,7905.0,1.86048,1.89,282.461,DWARF,2,2.38525,77
TIC 396218517,396218517,100,100,8.22,211.8085,-74.49,4,2,7872.0,2.40347,1.88,226.484,DWARF,2,2.405677,78
TIC 410347776,410347776,100,100,9.58,289.818,-70.1362,4,3,8705.0,1.74913,2.18,348.08,DWARF,2,2.401644,79
TIC 304486461,304486461,100,100,8.3,259.8637,-64.1135,4,4,6845.0,2.2942,1.48,191.374,DWARF,2,2.381263,80
TIC 193157890,193157890,100,100,8.6,157.2698,-29.5842,1,1,7348.0,2.56173,1.668,272.475,DWARF,2,2.537067,81
TIC 423523507,423523507,100,100,8.6,169.194,-21.8805,1,2,7094.0,2.41038,1.574,239.456,DWARF,2,2.484171,82
TIC 385268871,385268871,100,100,8.9,167.4503,-15.0883,1,3,8001.0,2.53683,1.93,337.914,DWARF,2,2.588583,83
TIC 1524976,1524976,100,100,9.76,153.5418,-17.1685,1,4,8006.0,1.83045,1.933,362.491,DWARF,2,2.477116,84
TIC 61415299,61415299,100,100,9.27,175.9255,-47.9246,2,1,7667.0,1.97055,1.8,295.559,DWARF,2,2.443175,85
TIC 345180382,345180382,100,100,8.82,177.3608,-41.3654,2,2,7415.0,2.09009,1.69,238.055,DWARF,2,2.40433,86
TIC 157174648,157174648,100,100,9.62,175.5507,-34.0926,2,3,7736.0,1.95756,1.82,344.422,DWARF,2,2.50743,87
TIC 106503819,106503819,100,100,9.46,159.9655,-37.6434,2,4,7404.0,1.98668,1.69,314.096,DWARF,2,2.488256,88
TIC 253073036,253073036,100,100,8.05,194.3886,-57.4492,3,1,7511.0,2.47307,1.73,202.506,DWARF,2,2.396473,89
TIC 94464047,94464047,100,100,9.7,177.4569,-53.685,3,2,7469.0,1.77105,1.72,306.736,DWARF,2,2.436462,90
TIC 448787911,448787911,100,100,9.28,213.2076,-70.8201,3,3,7967.0,1.84697,1.92,279.276,DWARF,2,2.38892,91
TIC 448759832,448759832,100,100,8.19,213.0605,-65.951,3,4,9015.0,2.38518,2.28,250.676,DWARF,2,2.393042,92
TIC 282412997,282412997,100,100,8.47,232.7823,-59.2736,4,1,7797.0,2.21709,1.85,224.919,DWARF,2,2.385567,93
TIC 403563518,403563518,100,100,9.9,231.3348,-72.433,4,2,7901.0,1.64474,1.89,339.576,DWARF,2,2.412195,94
TIC 340849137,340849137,100,100,8.03,293.449,-75.2536,4,3,6412.0,2.5126,1.29,165.053,DWARF,2,2.406247,95
TIC 380913340,380913340,100,100,8.15,270.1783,-62.1601,4,4,7937.0,2.38162,1.91,223.282,DWARF,2,2.383745,96
TIC 423437629,423437629,100,100,9.43,157.645,-22.5211,1,1,8772.0,2.14341,2.2,407.272,DWARF,2,2.548211,97
TIC 434492860,434492860,100,100,8.34,172.814,-21.128,1,2,6444.0,2.61285,1.305,203.614,DWARF,2,2.502229,98
TIC 55096214,55096214,100,100,8.45,161.9232,-9.5018,1,3,7405.0,2.82011,1.69,280.866,DWARF,2,2.590532,99
TIC 101224405,101224405,100,100,9.24,155.5966,-17.4973,1,4,5983.5,2.23043,1.1,231.739,DWARF,2,2.544777,100
TIC 389096669,389096669,100,100,9.99,177.8624,-50.8488,2,1,7330.0,1.68677,1.66,328.207,DWARF,2,2.452112,101
