target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 54144488,54144488,100,100,12.95,160.4363,-31.2003,1,1,2944.0,0.152435,18.3467,DWARF,0,0.956169,1
TIC 20325775,20325775,100,100,12.01,167.4723,-24.2491,1,2,3066.0,0.207213,17.5205,DWARF,0,1.034834,2
TIC 148563078,148563078,100,100,11.35,164.6152,-10.7757,1,3,3088.0,0.224442,14.4544,DWARF,0,0.972208,3
TIC 289706625,289706625,100,100,10.42,146.2233,-12.3481,1,4,3003.0,0.309432,13.1228,DWARF,0,1.06513,4
TIC 303301402,303301402,100,100,12.09,159.5597,-49.5665,2,1,3061.0,0.165067,14.4667,DWARF,0,0.853321,5
TIC 73232846,73232846,100,100,9.74,190.185,-43.5614,2,2,3341.0,0.220487,8.04625,DWARF,0,0.634766,6
TIC 454012528,454012528,100,100,10.22,175.3441,-36.4073,2,3,3156.0,0.210137,8.67849,DWARF,0,0.689005,7
TIC 146714732,146714732,100,100,13.54,160.0218,-42.1269,2,4,3122.0,0.222603,40.1635,DWARF,0,1.403062,8
TIC 419692115,419692115,100,100,10.73,191.4733,-55.1149,3,1,3136.0,0.203777,10.1828,DWARF,0,0.76431,9
TIC 375841179,375841179,100,100,7.09,178.7587,-56.0985,3,2,5670.0,0.864261,31.0482,DWARF,0,1.29129,10
TIC 328591096,328591096,100,100,10.77,190.5644,-71.639,3,3,3249.0,0.264253,14.4447,DWARF,0,0.99804,11
TIC 448465432,448465432,100,100,9.3,211.0424,-66.243,3,4,3432.0,0.413428,24.5677681,DWARF,0,1.0928,12
TIC 402834325,402834325,100,100,7.16,249.2116,-65.5863,4,1,6200.06,1.12215,48.8522,DWARF,0,1.532102,13
TIC 449046160,449046160,100,100,12.11,215.564,-70.3967,4,2,2985.0,0.153296,12.8553,DWARF,0,0.793062,14
TIC 381983159,381983159,100,100,12.63,283.9589,-69.2425,4,3,2835.0,0.135559,11.6079,DWARF,0,0.790257,15
TIC 75160399,75160399,100,100,8.37,266.6276,-57.3289,4,4,3386.0,0.291681,5.88616,DWARF,0,0.603816,16
TIC 408438072,408438072,100,100,11.94,161.4639,-23.1512,1,1,3038.0,0.201625,16.3261,DWARF,0,0.997089,17
TIC 219246754,219246754,100,100,12.5,171.3701,-19.0326,1,2,3086.0,0.20085,21.5539,DWARF,0,1.105744,18
TIC 286332367,286332367,100,100,13.53,170.5485,-11.5379,1,3,2908.0,0.162217,24.1254,DWARF,0,1.126193,19
TIC 396823875,396823875,100,100,10.91,148.1732,-15.6048,1,4,3315.0,0.27975,17.6284,DWARF,0,1.07554,20
TIC 272649679,272649679,100,100,11.8,161.3762,-50.9912,2,1,3162.0,0.291077,25.1736,DWARF,0,1.288016,21
TIC 22247626,22247626,100,100,12.3,183.6589,-46.0557,2,2,2967.0,0.175375,15.646,DWARF,0,0.947935,22
