target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 54354699,54354699,100,100,14.59,161.5166,-30.8117,1,1,2864.0,0.148871,0.121337,34.0791,DWARF,0,1.26362,1
TIC 20491383,20491383,100,100,14.11,168.9077,-25.8721,1,2,3142.0,0.280108,0.254094,68.6876,DWARF,0,1.716651,2
TIC 335439938,335439938,100,100,15.17,170.5284,-15.1859,1,3,3910.0,0.206165,0.175124,529.1545,DWARF,0,1.66243,3
TIC 415678624,415678624,100,100,14.1,148.0906,-19.4097,1,4,2824.0,0.169309,0.139733,5324.28,DWARF,0,1.27736,4
TIC 91624888,91624888,100,100,16.0,171.2724,-50.454,2,1,3135.0,0.193542,0.162668,107.27,DWARF,0,1.77355,5
TIC 333289147,333289147,100,100,14.29,181.3536,-49.7953,2,2,3136.0,0.186252,0.155633,47.9795,DWARF,0,1.398202,6
TIC 14715718,14715718,100,100,14.34,174.7089,-28.7074,2,3,2841.0,0.139999,0.113553,,DWARF,0,1.16025,7
TIC 158328237,158328237,100,100,14.47,163.0743,-38.2058,2,4,2915.0,0.153173,0.125148,35.6648,DWARF,0,1.264364,8
TIC 334217994,334217994,100,100,14.18,183.0042,-52.242,3,1,2888.0,0.176446,0.146354,35.9057,DWARF,0,1.329224,9
TIC 287895933,287895933,100,100,14.22,184.8064,-59.5841,3,2,3794.0,0.251141,0.222096,75.2979,DWARF,0,1.643835,10
TIC 448568236,448568236,100,100,15.31,211.5516,-69.9551,3,3,2825.0,0.126976,0.102143,35.9456,DWARF,0,1.269443,11
TIC 327015315,327015315,100,100,14.94,210.4222,-64.0815,3,4,3170.0,0.211619,0.180611,76.1736,DWARF,0,1.639109,12
TIC 455055150,455055150,100,100,14.13,228.0902,-63.3836,4,1,2960.0,0.171083,0.141369,34.8229,DWARF,0,1.292414,13
TIC 309898261,309898261,100,100,15.23,249.4697,-73.8093,4,2,2877.0,0.170844,0.141148,55.6584,DWARF,0,1.511199,14
TIC 295317497,295317497,100,100,14.2,271.3436,-69.8642,4,3,3075.0,0.216797,0.185878,50.1933,DWARF,0,1.512107,15
TIC 365997088,365997088,100,100,14.46,276.3419,-62.6309,4,4,2997.0,0.228206,0.19767,59.7079,DWARF,0,1.608654,16
TIC 193030464,193030464,100,100,14.23,155.7954,-28.5034,1,1,2922.0,0.167227,0.137822,34.8228,DWARF,0,1.292613,17
TIC 219439154,219439154,100,100,15.0,172.2946,-22.5645,1,2,2991.0,0.24857,0.219314,84.6686,DWARF,0,1.790897,18
TIC 143032776,143032776,100,100,14.67,167.2551,-10.1883,1,3,3473.0,0.44667,0.442985,184.734,DWARF,0,2.233974,19
TIC 281298307,281298307,100,100,14.04,151.1565,-19.4405,1,4,3183.0,0.368677,0.355748,100.103,DWARF,0,1.941292,20
TIC 162727353,162727353,100,100,14.58,170.8515,-43.7855,2,1,3109.0,0.269627,0.24239,85.6445,DWARF,0,1.777527,21
TIC 333011055,333011055,100,100,15.11,180.8163,-48.5566,2,2,3051.0,0.180245,0.149924,63.1818,DWARF,0,1.533726,22
TIC 454112557,454112557,100,100,14.14,176.9283,-36.503,2,3,2892.0,0.148338,0.120867,29.4751,DWARF,0,1.170505,23
TIC 158668763,158668763,100,100,15.5,165.0601,-37.4756,2,4,2918.0,0.147977,0.120549,55.1406,DWARF,0,1.440388,24
TIC 273313069,273313069,100,100,14.73,185.7737,-51.598,3,1,2986.0,0.321071,0.30079,100.586,DWARF,0,1.959202,25
TIC 466500329,466500329,100,100,14.62,165.9443,-60.02,3,2,2979.0,0.275542,0.248979,,DWARF,0,1.804376,26
TIC 448658346,448658346,100,100,15.41,212.275,-70.0744,3,3,3026.0,0.208818,0.177786,81.5184,DWARF,0,1.721536,27
TIC 383884413,383884413,100,100,15.36,216.4509,-60.2574,3,4,3204.0,0.218811,0.187941,95.5716,DWARF,0,1.752138,28
TIC 343247642,343247642,100,100,15.47,240.8683,-65.8711,4,1,3267.0,0.247488,0.218146,119.535,DWARF,0,1.881108,29
TIC 426540179,426540179,100,100,15.9,245.1232,-72.8132,4,2,3111.0,0.192361,0.161521,102.131,DWARF,0,1.748234,30
TIC 343246818,343246818,100,100,14.68,265.6152,-77.1757,4,3,2825.0,0.220336,0.189508,51.9093,DWARF,0,1.622171,31
