#
# Full target list for orbit 221, sector 105
# Created Wed May 13 16:58:56 EDT 2026 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
7084946,1,4,5.77,286.1668,-48.4041
7085366,1,4,13.84,286.0655,-48.0728
7129303,3,1,13.08,4.0394,-42.6517
7129726,3,1,9.09,4.2239,-43.5406
7143811,3,1,9.02,4.1097,-47.8684
7146022,3,1,7.00,4.6221,-46.5320
7146534,3,1,5.28,4.6778,-43.2356
7146752,3,1,14.89,4.7311,-42.0521
7147101,3,1,9.75,4.8723,-44.0709
7147484,3,1,5.35,4.8356,-46.4990
7147915,3,1,9.35,5.0277,-46.7359
7148510,3,1,8.03,4.9072,-43.0821
7150628,3,1,13.86,5.2973,-42.7612
7151484,3,1,9.88,5.4020,-46.0953
7152332,3,1,8.32,5.5810,-44.6492
7153462,3,1,9.10,5.7527,-45.4865
7186577,3,1,8.92,5.9540,-46.4057
7204744,3,1,12.08,6.2428,-43.1007
7205332,3,3,17.05,32.0020,-43.7691
7218781,3,3,8.13,32.0954,-46.3732
7219134,3,3,8.69,32.2350,-47.2918
7219876,3,3,4.78,32.2882,-43.5170
7220124,3,3,12.05,32.1804,-42.2417
7220471,3,3,9.43,32.4111,-43.4408
7221735,3,3,10.83,32.4867,-45.7727
7222091,3,3,5.54,32.5206,-43.8156
7222624,3,3,8.63,32.7852,-42.7522
7222629,3,3,11.84,32.7397,-42.7798
7242535,3,3,12.90,32.7233,-46.0643
7242537,3,3,10.38,32.7314,-46.0665
7242783,3,3,10.27,32.6880,-47.5657
7243102,3,3,7.79,32.8203,-46.5851
7244910,3,3,5.53,32.9761,-47.1707
7245573,3,3,8.03,33.1993,-45.2158
7263621,3,3,8.37,33.8878,-43.6753
7264479,3,3,8.62,33.9620,-44.7376
7264867,3,3,8.63,34.0279,-46.8845
7265098,3,3,16.72,34.2164,-47.8891
7315511,3,3,13.28,34.5163,-44.0905
7315512,3,3,11.07,34.5161,-44.0894
7317387,3,3,12.32,34.8992,-45.8519
7317388,3,3,12.64,34.8978,-45.8511
7317423,3,3,8.07,34.8615,-45.6650
7318157,3,3,8.57,35.0378,-42.2720
7319369,3,3,7.32,35.0961,-46.9240
7319744,3,3,13.09,35.1023,-44.5579
8165927,1,3,17.38,301.1081,-38.0265
8191897,1,3,8.48,301.4946,-39.9760
8191955,1,3,9.52,301.4080,-39.9029
8192315,1,3,15.88,301.4482,-39.3045
32209547,3,4,9.98,22.7813,-32.1066
32255963,3,4,13.20,22.7313,-33.4847
32256081,3,4,9.79,22.7869,-34.3283
32258393,3,4,13.21,23.2397,-35.4478
32266439,3,4,10.42,23.4153,-32.2602
32267583,3,4,8.24,23.5648,-34.3237
32267802,3,4,10.46,23.5720,-35.7235
32268329,3,4,9.10,23.7972,-32.6898
32268449,3,4,5.17,23.7110,-31.8926
32284043,3,4,5.89,24.2035,-32.2972
32290739,3,4,8.20,24.2929,-33.5064
32291610,3,4,9.58,24.4867,-31.5214
32292486,3,4,8.50,24.5754,-35.2132
32292960,3,4,8.42,24.6362,-32.2498
32306785,3,4,10.45,24.7600,-35.4169
32307067,3,4,15.55,24.9282,-34.7114
32307206,3,4,16.79,24.8151,-33.8178
32307244,3,4,5.55,24.8398,-33.5648
32308360,3,4,8.99,25.0416,-32.8231
32314028,3,4,9.11,25.0317,-34.4088
32314186,3,4,9.61,25.0455,-35.2004
32315976,3,4,9.13,25.2632,-34.5913
32316045,3,4,10.36,25.2563,-35.1628
32353298,3,4,9.26,25.4614,-32.1565
32354173,3,4,4.35,25.5353,-32.3270
32354342,3,4,12.02,25.5856,-33.2108
32354669,3,4,10.87,25.5770,-35.1238
32354672,3,4,10.50,25.5353,-35.1382
32354769,3,4,15.78,25.5836,-35.6738
32354834,3,4,8.79,25.7540,-35.8157
32355300,3,4,13.25,25.6378,-32.9576
32355614,3,4,9.89,25.7537,-31.0249
32395274,3,4,10.70,25.9365,-34.9186
32396533,3,4,12.90,26.0579,-32.1609
32396858,3,4,5.58,26.1534,-34.4062
32396971,3,4,10.42,26.0801,-35.0796
32397826,3,4,8.43,26.3210,-31.8924
32397921,3,4,7.39,26.2579,-31.3860
32398942,3,4,10.69,26.4673,-34.6457
32399025,3,4,11.77,26.3988,-35.1715
32419027,3,4,10.85,26.6843,-34.6247
32419062,3,4,9.35,26.6735,-34.8559
32420955,3,4,10.49,26.9302,-34.4125
32420957,3,4,10.44,27.0159,-34.4260
32421479,3,4,9.09,27.1641,-34.2366
32421492,3,4,15.55,27.1572,-34.1966
32421578,3,4,11.88,27.1368,-33.6790
32421775,3,4,8.64,27.1407,-32.5982
32422391,4,1,9.46,27.2704,-30.5134
32432249,3,4,13.47,27.2694,-33.9437
32432302,3,4,9.33,27.2891,-34.2949
32432349,3,4,10.28,27.1870,-34.6095
32432469,3,4,9.35,27.2054,-35.5367
32432767,3,4,8.13,27.4076,-34.4591
32432838,3,4,9.56,27.3677,-34.0185
32432955,3,4,12.76,27.4315,-33.3214
