target,tic_id,sector,sectors,tmag,teff_k,stellar_radius_solar,distance_pc,ra_deg,dec_deg,camera,ccd,known_planet_host_rows
TIC 269586177,269586177,105,105,10.6327,4359.0,0.761096,75.63632,301.67805671805,-40.2384169745147,1,3,0
TIC 311403944,311403944,105,105,10.6327,3429.0,0.377471,21.7453,36.1106323780732,-47.1732979879119,3,3,0
TIC 143030532,143030532,105,105,10.6527,4249.0,0.671,67.1867,54.7686854798343,-32.8346351435048,4,3,0
TIC 89257479,89257479,105,105,10.6543,3093.0,0.20381,9.6062,312.567333562171,-34.4118333170939,1,3,0
TIC 408249892,408249892,105,105,10.6588,4276.0,0.662196,67.5817,51.3867063293682,-27.3408141907157,4,4,0
TIC 197985794,197985794,105,105,10.66,3772.0,0.55875,44.9447,334.616543059619,-54.9731711272407,2,4,0
TIC 70523973,70523973,105,105,10.6679,3900.0,0.665452,60.8348,33.0500576005009,-35.1966597267909,4,1,0
TIC 146247923,146247923,105,105,10.6728,3499.0,0.411699,27.2988,34.4883968144719,-35.605408443749,4,1,0
TIC 326700454,326700454,105,105,10.6757,3956.0,0.580712,51.6662,294.238232485497,-40.3222631339527,1,4,0
TIC 231267979,231267979,105,105,10.676,3418.0,0.607573,45.5747,334.667087787087,-53.4446277121737,2,4,0
TIC 79020913,79020913,105,105,10.7036,3273.0,0.279322,35.626358,315.280885872824,-49.1235866957366,1,1,0
TIC 62118520,62118520,105,105,10.7071,3516.0,0.377366,24.9611,290.682025077891,-43.3224331149245,1,4,0
TIC 234299628,234299628,105,105,10.7205,3380.0,0.312106,18.7242,358.672118741768,-61.5861949389727,2,1,0
TIC 92367483,92367483,105,105,10.7493,4354.0,0.717575,79.8861,314.058494104055,-34.248895358472,1,3,0
TIC 175491644,175491644,105,105,10.7546,3945.0,0.674454,65.6168,45.225991096831,-40.3004562402386,4,2,0
TIC 65483825,65483825,105,105,10.7712,3395.0,0.529214,44.0752,43.121857193856,-24.2884119957054,4,4,0
TIC 201287634,201287634,105,105,10.7778,3729.0,0.703737,66.412,2.03338696999579,-56.5745771951021,2,1,0
TIC 425866459,425866459,105,105,10.7803,3666.0,0.541493,43.9198,320.587050963368,-57.5926880494731,2,4,0
TIC 140046482,140046482,105,105,10.794,4495.0,0.696942,85.4089,329.509831546617,-48.1772599285914,2,3,0
TIC 88478720,88478720,105,105,10.7958,3445.0,0.304287,19.5853,46.9724558051728,-28.2360878701738,4,4,0
