target,tic_id,sector,sectors,tmag,teff_k,stellar_radius_solar,distance_pc,ra_deg,dec_deg,camera,ccd,known_planet_host_rows
TIC 142206123,142206123,105,105,7.17922,3788.0,0.692694,11.5335,38.5940260150709,-43.7963532657194,4,2,0
TIC 88533834,88533834,105,105,7.9032,4281.0,0.648253,18.6572,48.6859349389589,-26.4462487008217,4,4,0
TIC 140045538,140045538,105,105,8.23083,3466.0,0.608233,14.854,329.421682693545,-51.0061778687375,2,4,0
TIC 88478727,88478727,105,105,8.46043,3827.0,0.627937,19.5489,46.9823011190646,-28.2197121573219,4,4,0
TIC 206327795,206327795,105,105,8.6192,4001.0,0.746358,25.0245,354.076140227641,-48.58807338999,2,2,0
TIC 158624542,158624542,105,105,8.7045,3850.0,0.63117,22.1501,24.3367513721978,-49.1956601713495,3,3,0
TIC 231055581,231055581,105,105,9.26953,3284.0,0.287941,8.21242,30.1595357067217,-55.9679508023847,3,3,0
TIC 41858828,41858828,105,105,9.2959,4468.0,0.781389,47.3719,20.292130691915,-37.4916394926262,3,4,0
TIC 62020444,62020444,105,105,9.38922,3158.0,0.21187,5.91294,290.199931223396,-45.5582303560948,1,4,0
TIC 290970527,290970527,105,105,9.43155,3488.0,0.43895,16.8755,309.034620813236,-36.1198649330232,1,3,0
TIC 140460192,140460192,105,105,9.47977,3962.0,0.703944,38.5171,20.5184775122757,-33.617662387958,3,4,0
TIC 122574885,122574885,105,105,9.50892,3458.0,0.296416,10.8666,39.9612973695943,-34.1326561451321,4,1,0
TIC 33593656,33593656,105,105,9.5239,4436.0,0.739841,48.9879,28.5735691841544,-29.3897907448952,4,1,0
TIC 322736681,322736681,105,105,9.53061,3340.0,0.374074,13.4078,34.1716579045582,-30.9883965963578,4,1,0
TIC 122506840,122506840,105,105,9.58783,3911.0,0.591584,31.4147,38.5153470338785,-30.5610378493543,4,1,0
TIC 231017428,231017428,105,105,9.60304,3530.0,0.48837,20.9219,27.109077898505,-56.978182833424,3,2,0
TIC 71373798,71373798,105,105,9.61711,3505.0,0.453928,19.0596,45.6585582208322,-18.1663250060321,4,4,0
TIC 42055967,42055967,105,105,9.6716,4176.1,0.623762,38.9196,24.5133440628272,-40.2931241483832,3,4,0
TIC 115282129,115282129,105,105,9.69268,3837.0,0.636677,35.0779,26.3388614832126,-39.9556738198273,3,4,0
TIC 201287746,201287746,105,105,9.72669,3381.0,0.327445,12.7969,2.07242704783504,-57.098029275291,2,1,0
TIC 206327797,206327797,105,105,9.7389,3290.0,0.575313,24.9766,354.066152811323,-48.5835376201043,2,2,0
TIC 231907973,231907973,105,105,9.75165,3934.0,0.7024,44.1072,6.31109185626212,-61.5134035031295,2,1,0
TIC 123269276,123269276,105,105,9.7592,3715.0,0.489984,24.2671,28.7960885053498,-32.0902734502549,4,1,0
TIC 152970468,152970468,105,105,9.78832,3751.0,0.485889,25.1012,47.8140343668632,-46.5176268384426,4,2,0
TIC 146247926,146247926,105,105,9.79343,3709.0,0.525121,27.3463,34.4866174690608,-35.6168208110295,4,1,0
TIC 197962036,197962036,105,105,9.7979,4243.0,0.629326,42.3379,348.631887307475,-53.9579354607571,2,1,0
TIC 224270730,224270730,105,105,9.80069,3491.0,0.457555,20.7136,354.572572981238,-41.5177165602206,2,2,0
TIC 123366965,123366965,105,105,9.84507,3406.0,0.237209,9.3687,31.4523090680435,-30.1766389952827,4,1,0
TIC 7151484,7151484,105,105,9.87974,3403.0,0.438721,19.1403,5.40526163366133,-46.0926061631644,3,1,0
TIC 48788704,48788704,105,105,9.8814,3411.0,0.340356,14.6978,301.950217483943,-31.7580756619452,1,3,0
TIC 156084049,156084049,105,105,9.88834,3569.0,0.697075,41.1122,11.3673100390235,-51.6260938241925,3,2,0
TIC 152287388,152287388,105,105,9.9026,4413.0,0.703123,54.7528,28.8449078866785,-38.7724166504235,3,4,0
TIC 200665595,200665595,105,105,9.9055,4413.0,0.646178,50.3834,2.87605745170578,-49.6283048712208,3,1,0
TIC 166808151,166808151,105,105,9.92552,3510.0,0.696374,38.803,39.2154230340877,-52.0510003962971,3,3,0
TIC 144458200,144458200,105,105,9.93897,3304.0,0.366845,14.9857,336.271145485908,-47.8796861851805,2,3,0
TIC 266996986,266996986,105,105,9.961,4388.0,0.685917,54.1318,349.95193589894,-54.7204801212714,2,1,0
TIC 406277015,406277015,105,105,9.9869,3857.0,0.698489,46.301,326.125511669819,-60.9774708263446,2,4,0
TIC 65347634,65347634,105,105,9.9933,4062.0,0.646071,42.3299,39.7138084345804,-28.1734252878947,4,1,0
TIC 209450384,209450384,105,105,10.0018,4170.0,0.647916,45.7297,45.6959902989879,-30.3602518171191,4,4,0
TIC 146246752,146246752,105,105,10.0433,3704.0,0.518662,30.0024,34.3695951287779,-32.2210273364479,4,1,0
