target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,selection_rank
TIC 79422142,79422142,105,105,7.0,320.5494,-51.1247,1,1,1
TIC 207080350,207080350,105,105,7.09,320.9194,-39.7791,1,2,2
TIC 152796589,152796589,105,105,7.0,304.9922,-32.6165,1,3,3
TIC 128790976,128790976,105,105,7.22,300.2132,-43.9829,1,4,4
TIC 220507581,220507581,105,105,7.0,347.1576,-59.737,2,1,5
TIC 224285325,224285325,105,105,7.05,356.6396,-41.5882,2,2,6
TIC 382420379,382420379,105,105,7.11,335.6845,-45.9481,2,3,7
TIC 259718796,259718796,105,105,7.0,322.6047,-60.2072,2,4,8
TIC 7146022,7146022,105,105,7.0,4.6221,-46.532,3,1,9
TIC 382551556,382551556,105,105,7.16,19.4973,-52.1058,3,2,10
TIC 158637022,158637022,105,105,7.23,24.7843,-48.7753,3,3,11
TIC 41862035,41862035,105,105,7.18,20.9057,-41.2703,3,4,12
TIC 152319089,152319089,105,105,7.02,34.008,-36.4727,4,1,13
TIC 147469587,147469587,105,105,7.08,41.4226,-38.1568,4,2,14
TIC 176841424,176841424,105,105,7.0,49.2296,-31.3524,4,3,15
TIC 209461158,209461158,105,105,7.02,46.9886,-30.3138,4,4,16
TIC 425865767,425865767,105,105,7.05,320.6497,-55.7838,1,1,17
TIC 159835781,159835781,105,105,7.22,320.1939,-38.7811,1,2,18
TIC 269635636,269635636,105,105,7.13,301.974,-39.8441,1,3,19
TIC 101234184,101234184,105,105,7.33,299.5643,-51.8957,1,4,20
TIC 355426214,355426214,105,105,7.0,1.2799,-52.1527,2,1,21
TIC 144401881,144401881,105,105,7.11,357.8403,-42.3728,2,2,22
TIC 161268141,161268141,105,105,7.51,341.7025,-48.3151,2,3,23
TIC 277688819,277688819,105,105,7.06,329.2365,-61.8465,2,4,24
TIC 102029895,102029895,105,105,7.16,15.683,-47.2886,3,1,25
TIC 207084429,207084429,105,105,7.2,22.7582,-51.2159,3,2,26
TIC 165901981,165901981,105,105,7.28,31.103,-43.5077,3,3,27
TIC 401868169,401868169,105,105,7.36,26.8251,-42.6391,3,4,28
TIC 122522167,122522167,105,105,7.05,38.5514,-33.1181,4,1,29
TIC 165143508,165143508,105,105,7.15,46.3264,-40.9842,4,2,30
TIC 308243453,308243453,105,105,7.03,51.4961,-35.9583,4,3,31
TIC 326242263,326242263,105,105,7.11,41.3266,-20.4016,4,4,32
TIC 231631019,231631019,105,105,7.08,317.6073,-54.5739,1,1,33
TIC 115105140,115105140,105,105,7.35,316.4953,-36.2596,1,2,34
TIC 34724550,34724550,105,105,7.3,306.665,-30.676,1,3,35
TIC 200250061,200250061,105,105,7.34,294.4745,-48.1131,1,4,36
TIC 262825539,262825539,105,105,7.09,348.9607,-58.0833,2,1,37
TIC 139191168,139191168,105,105,7.18,345.4441,-44.8411,2,2,38
TIC 389726435,389726435,105,105,7.54,329.6575,-45.7433,2,3,39
TIC 143897365,143897365,105,105,7.13,332.5919,-51.9609,2,4,40
TIC 308209763,308209763,105,105,7.16,10.9528,-37.4729,3,1,41
TIC 281573888,281573888,105,105,7.37,7.6661,-54.97,3,2,42
TIC 7319369,7319369,105,105,7.32,35.0961,-46.924,3,3,43
TIC 32397921,32397921,105,105,7.39,26.2579,-31.386,3,4,44
TIC 122575742,122575742,105,105,7.1,40.1279,-31.4675,4,1,45
TIC 147459425,147459425,105,105,7.19,41.4376,-39.7167,4,2,46
TIC 142938499,142938499,105,105,7.07,52.4914,-35.7488,4,3,47
TIC 65344368,65344368,105,105,7.15,39.1983,-25.0243,4,4,48
TIC 394484541,394484541,105,105,7.18,316.1425,-58.9334,1,1,49
TIC 165062589,165062589,105,105,7.84,322.3305,-38.8276,1,2,50
TIC 441398770,441398770,105,105,7.4,310.4658,-32.4384,1,3,51
TIC 61613763,61613763,105,105,7.54,288.482,-47.3586,1,4,52
TIC 316968412,316968412,105,105,7.14,356.7545,-55.4082,2,1,53
TIC 139199620,139199620,105,105,7.26,345.8689,-43.0794,2,2,54
TIC 160037769,160037769,105,105,8.0,339.0223,-41.175,2,3,55
